935,342,-23,-1,0,-1
938,332,-26,0,0,-1
939,329,-19,-1,0,0
942,327,-10,-1,0,0
938,332,-8,0,1,0
935,333,-12,0,1,-1
938,335,-15,1,1,-1
937,341,-29,-1,0,-1
939,336,-18,-3,0,0
935,334,-18,0,0,0
937,331,-14,0,1,-1
936,327,-16,2,3,0
932,343,-21,1,3,0
936,330,-21,1,2,1
938,347,-23,0,0,0
936,323,-13,2,3,0
941,325,-28,1,2,0
937,336,-25,-1,2,0
937,336,-25,0,2,0
940,332,-29,0,2,0
941,321,-24,0,1,0
941,317,-21,-1,0,0
941,320,-27,-2,0,0
940,325,-30,0,1,0
941,327,-33,0,1,0
940,327,-35,-3,0,0
944,324,-29,-1,0,0
942,310,-34,0,0,0
942,316,-25,0,0,0
940,325,-25,2,1,-1
942,330,-27,0,0,0
942,325,-24,0,0,0
942,321,-22,-1,0,0
946,319,-21,-3,0,-1
941,322,-19,-2,1,-2
935,330,-22,0,1,-1
936,328,-28,2,2,0
936,337,-28,2,1,0
941,325,-24,2,1,0
940,325,-33,-1,0,0
942,324,-25,-2,0,0
938,322,-24,-2,0,0
938,325,-17,1,2,0
936,334,-22,1,2,0
944,329,-25,0,1,0
945,320,-25,1,1,0
946,318,-22,0,0,0
937,320,-24,0,1,-1
937,328,-21,1,2,-1
941,329,-22,1,1,0
941,328,-25,0,1,0
941,321,-18,0,0,0
939,322,-17,0,0,0
947,318,-17,-2,0,0
939,321,-16,-1,1,-1
936,324,-15,0,2,-1
944,329,-22,0,1,-1
938,328,-16,-4,-2,-2
941,323,-27,-10,0,-2
939,363,-11,1,2,-3
938,333,-13,4,1,-9
939,353,-12,2,3,3
935,329,-24,8,2,0
938,339,-20,-5,-1,-2
936,347,-20,-5,-1,-1
933,347,-14,-2,0,0
929,334,-17,-2,-1,0
931,339,-20,-2,0,-2
935,344,-14,-3,0,0
928,358,-16,1,2,0
931,337,-21,0,0,0
935,338,-32,0,1,0
934,340,-16,-1,1,0
940,327,-15,-1,1,0
945,335,-11,0,0,1
938,322,-9,-1,-1,1
932,333,-31,-1,2,0
942,320,-19,-1,3,2
940,339,-17,-2,2,3
938,345,-12,-6,0,-1
943,329,-25,0,-1,0
947,317,-17,-2,-2,-2
933,333,-22,-2,-2,-1
935,336,-18,0,-2,-3
939,324,-31,-4,-2,-1
939,336,-22,-3,-1,0
926,343,-28,-2,-3,-4
939,345,-16,-2,0,1
937,297,-7,-11,-7,-4
941,328,12,-19,-2,2
932,342,13,-16,-4,-8
932,347,-9,-9,0,4
929,369,2,9,3,2
937,341,0,4,0,0
937,357,-17,4,1,-5
925,339,-5,1,0,-7
932,319,-29,-2,12,0
936,393,-8,18,8,4
930,325,-26,20,7,2
936,341,-16,9,7,1
931,341,-29,9,3,0
942,324,-26,0,3,-2
942,334,-4,-1,1,-3
939,326,-14,-7,0,-4
936,348,-15,-8,0,-5
933,346,-16,-1,1,-3
932,358,-22,-3,0,-2
934,345,-21,0,-1,-2
927,357,-22,0,0,0
931,349,-19,0,0,-1
917,377,-40,0,2,0
918,391,-41,14,7,1
930,349,-30,19,8,-1
934,339,-31,13,6,0
938,347,-19,5,3,0
928,357,-23,-1,0,-1
930,351,-24,-1,-1,-1
944,341,-28,0,1,2
931,352,-6,4,-1,4
922,351,-21,2,0,2
934,331,-13,-19,-2,-7
932,353,-11,-16,0,-2
933,363,-12,-6,-1,1
942,351,-7,0,-3,2
945,322,-12,3,-6,3
938,306,-65,-9,-6,5
960,257,-26,-57,-7,4
934,279,-8,-26,-15,13
956,312,-48,-48,-20,10
948,306,-47,-52,-21,7
945,289,-39,-47,-15,5
952,284,-34,-47,-16,9
960,257,-26,-57,-7,1
934,279,-8,-26,-15,2
956,312,-48,-48,-20,3
948,306,-47,-52,-21,4
945,289,-39,-47,-15,5
