1,1,774,2055,159,-63,264,-533,1201,323,1
1,1,891,2435,285,-77,357,-626,1608,403,2
1,1,1171,3021,500,-105,437,-763,2278,500,3
1,1,1310,2980,797,-192,457,-839,2351,594,4
1,1,1254,2682,1021,-294,513,-893,2131,690,5
1,1,1197,2044,1141,-233,629,-839,1629,766,6
1,1,1330,1373,937,-90,687,-755,1128,818,7
1,1,1326,763,648,89,616,-654,661,835,8
1,1,1129,313,380,126,549,-548,231,825,9
1,1,881,-21,128,83,444,-450,109,787,10
1,1,705,-44,-39,75,343,-338,292,727,11
1,1,605,-142,-156,73,224,-243,359,649,12
1,1,414,-252,-295,26,135,-150,432,560,13
1,1,333,-187,-367,-31,118,-69,470,476,14
1,1,279,-190,-646,0,80,22,271,397,15
1,1,316,-261,-613,19,3,105,262,339,16
1,1,234,-254,-607,-15,-129,177,301,315,17
1,1,328,-182,-528,-84,-224,252,352,321,18
1,1,483,-30,-400,-98,-326,337,372,352,19
1,1,696,310,-130,-43,-449,449,227,409,20
1,1,882,633,151,65,-570,558,96,487,21
1,1,863,700,137,151,-612,632,119,568,22
1,1,1705,773,34,195,-546,674,872,632,23
1,1,988,2275,494,519,-662,922,1528,755,24
1,1,1430,1429,-63,785,-320,1069,1022,877,25
1,1,2081,1616,-683,464,-142,1165,1721,954,26
1,1,2703,1231,-822,61,-61,1204,2081,1004,27
1,1,3056,1276,-212,-256,68,981,2318,1007,28
1,1,3691,1239,-17,-479,128,976,2893,1024,29
1,1,3428,1667,239,-556,-93,977,2819,1044,30
1,1,2246,1798,272,-528,-277,778,1889,1031,31
1,1,1203,1467,478,-485,-341,385,956,966,32
1,1,739,1118,507,-409,-207,31,432,865,33
1,1,586,930,299,-239,-19,-107,139,744,34
1,1,669,795,163,-38,171,-92,51,635,35
1,1,913,670,-61,57,252,-75,134,561,36
1,1,1021,547,-248,41,241,-126,184,504,37
1,1,1049,397,-313,-19,200,-143,164,452,38
1,1,960,322,-349,-78,66,-113,71,392,39
1,1,876,309,-364,-107,19,-66,2,339,40
1,1,852,393,-304,-117,-20,-51,13,297,41
1,1,876,465,-264,-85,-22,-67,26,259,42
1,1,892,426,-265,-29,13,-87,23,226,43
1,1,950,381,-293,9,50,-94,64,202,44
1,1,984,353,-340,44,75,-102,99,188,45
1,1,987,283,-368,68,74,-96,90,178,46
1,1,953,259,-367,79,57,-89,53,168,47
1,1,919,250,-339,87,50,-81,10,160,48
1,1,900,228,-319,85,48,-77,18,153,49
1,1,908,221,-317,77,45,-64,13,144,50
1,1,905,243,-301,74,39,-42,15,134,51
1,1,894,291,-266,71,29,-22,22,123,52
1,1,938,390,-265,69,25,-17,49,113,53
1,1,944,389,-273,69,41,-29,56,107,54
1,1,917,365,-264,59,37,-34,21,101,55
1,1,905,363,-258,50,17,-32,8,93,56
1,1,880,348,-273,36,20,-36,15,85,57
1,1,895,328,-259,17,16,-35,12,76,58
1,1,896,355,-249,1,0,-23,4,66,59
1,1,882,390,-241,5,0,-17,5,56,60
1,1,874,391,-242,16,8,-17,12,49,61
1,1,865,392,-249,20,11,-11,18,44,62
1,1,858,407,-263,12,-1,-13,13,32,65
1,1,51,1715,1837,-107,-363,191,1513,403,1
1,1,-218,1860,1686,-73,-222,101,1519,373,2
1,1,-349,1853,1829,-55,-74,31,1626,318,3
1,1,-289,1985,1982,-5,-1,-39,1819,262,4
1,1,-307,1744,1781,17,90,-101,1511,237,5
1,1,-166,1608,1761,5,145,-131,1390,228,6
1,1,24,1566,1650,4,168,-166,1274,230,7
1,1,131,1403,1486,-9,181,-185,1047,235,8
1,1,224,1339,1329,6,193,-180,899,241,9
1,1,412,1106,1098,0,188,-168,612,243,10
1,1,482,972,894,-7,170,-169,405,242,11
1,1,499,795,670,17,151,-131,153,233,12
1,1,450,565,431,47,129,-86,158,219,13
1,1,401,358,251,31,123,-84,406,206,14
1,1,334,257,143,37,133,-81,554,196,15
1,1,261,75,18,24,142,-99,727,192,16
1,1,189,-99,-21,4,161,-118,785,193,17
1,1,185,-72,4,14,182,-85,801,195,18
1,1,246,-66,-34,17,167,-35,743,190,19
1,1,301,-27,-32,-50,116,-10,696,177,20
1,1,289,-44,25,-119,59,29,706,168,21
1,1,214,37,-73,-104,7,57,770,158,22
1,1,141,95,-98,-31,-13,71,803,142,23
1,1,238,81,-6,59,7,111,748,139,24
1,1,416,16,100,25,-54,160,571,145,25
1,1,376,231,361,3,-119,172,429,158,26
1,1,206,443,245,36,-124,287,453,189,27
1,1,370,761,111,102,-19,390,146,231,28
1,1,505,1070,162,214,18,311,194,260,29
1,1,643,712,455,324,-49,346,61,303,30
1,1,555,1134,149,368,-138,435,271,360,31
1,1,728,1690,-26,424,-102,470,840,416,32
1,1,973,1695,-187,438,-128,418,963,456,33
1,1,847,1571,-302,398,-164,387,810,481,34
1,1,903,1363,-255,360,-72,394,654,492,35
1,1,1084,1212,-330,295,32,417,659,496,36
1,1,1320,1142,-358,227,81,451,781,499,37
1,1,1364,1132,-351,167,75,492,806,504,38
1,1,1476,1167,-507,42,-20,492,948,502,39
1,1,1213,956,-166,-50,-10,461,553,494,40
1,1,1048,979,-188,-134,-137,303,446,467,41
1,1,1027,840,-71,-244,-137,139,328,436,42
1,1,964,792,-16,-271,-111,-1,247,407,43
1,1,1027,753,26,-228,-68,-77,273,375,44
1,1,1052,687,14,-145,-44,-105,256,337,45
1,1,952,561,-30,-92,-31,-110,105,299,46
1,1,762,482,-122,-92,-16,-113,90,268,47
1,1,731,387,-271,-100,49,-127,129,248,48
1,1,812,343,-299,-101,60,-111,69,230,49
1,1,854,421,-357,-64,39,-75,16,205,50
1,1,899,416,-346,2,-32,-55,49,177,51
1,1,800,405,-363,45,-65,-37,32,159,52
1,1,753,383,-369,28,-32,-33,78,138,53
1,1,754,431,-363,15,15,-38,58,119,54
1,1,795,445,-361,49,22,-46,20,109,55
1,1,813,410,-368,77,10,-49,17,105,56
1,1,805,371,-369,75,11,-47,39,102,57
1,1,799,349,-356,46,13,-34,58,93,58
1,1,813,390,-365,16,13,-15,27,79,59
1,1,790,415,-366,4,15,-7,35,67,60
1,1,769,440,-364,13,13,0,42,57,61
1,1,782,474,-372,31,10,6,12,52,62
1,1,780,466,-374,38,18,4,17,50,63
1,1,757,442,-372,25,24,4,47,47,64
1,1,753,454,-360,2,21,6,42,41,65
1,1,446,2383,-212,-418,-144,-504,1433,269,1
1,1,548,2966,13,-584,0,-656,2016,391,2
1,1,689,3416,491,-595,154,-789,2519,512,3
1,1,978,3392,919,-516,321,-827,2647,615,4
1,1,1275,2970,1184,-565,450,-847,2442,715,5
1,1,1347,2277,1168,-578,574,-856,1891,808,6
1,1,1431,1375,812,-459,688,-771,1144,872,7
1,1,1575,653,454,-345,671,-639,764,895,8
1,1,1386,257,91,-309,481,-555,412,875,9
1,1,1426,-51,-321,-332,410,-434,462,837,10
1,1,1094,-249,-575,-330,359,-269,260,780,11
1,1,1045,-213,-607,-221,250,-142,227,697,12
1,1,1467,-60,-558,-76,138,-24,570,589,13
1,1,1564,-64,-565,-13,-1,67,664,485,14
1,1,1483,-119,-546,-17,-121,158,584,427,15
1,1,1599,-46,-313,-39,-269,254,629,416,16
1,1,1797,229,61,-25,-488,325,812,450,17
1,1,2211,684,547,46,-643,446,1378,517,18
1,1,2992,1245,1385,112,-819,573,2524,614,19
1,1,4000,2472,2543,143,-1125,642,4345,752,20
1,1,5173,3752,3475,306,-1364,662,6274,911,21
1,1,6660,3552,3461,155,-1530,639,7303,1061,22
1,1,7845,4362,4443,105,-1743,573,9015,1216,23
1,1,7224,3719,3685,198,-1743,445,7921,1335,24
1,1,5753,2743,2106,-123,-1594,154,5712,1389,25
1,1,4510,2206,1829,-230,-1209,-58,4343,1357,26
1,1,3454,2170,1299,12,-956,-111,3280,1278,27
1,1,2865,1546,834,186,-820,-176,2360,1194,28
1,1,2273,909,697,148,-739,-217,1545,1112,29
1,1,1831,661,755,121,-653,-225,1087,1030,30
1,1,1492,451,809,232,-578,-221,756,956,31
1,1,1034,293,1087,384,-532,-151,528,899,32
1,1,1051,-127,980,393,-590,-80,442,862,33
1,1,1085,-213,1520,190,-385,13,879,775,34
1,1,851,12,2305,28,-455,160,1457,717,35
1,1,222,109,2279,14,-77,78,1292,595,36
1,1,398,160,1789,-4,478,11,839,572,37
1,1,3438,1164,927,-289,1338,-45,2746,894,40
1,1,3928,1451,767,-420,1281,49,3257,985,41
1,1,4956,2485,1631,-700,1281,64,4779,1080,42
1,1,5601,3818,2713,-814,1526,28,6301,1210,43
1,1,6291,4153,3826,-541,1743,-47,7453,1333,44
1,1,5823,3485,4039,-146,1726,-65,6897,1413,45
1,1,4960,2175,3774,-326,1534,-242,5601,1447,46
1,1,3928,3021,3821,-396,1320,-230,5257,1437,47
1,1,3188,2175,2933,-80,1110,-198,3847,1376,48
1,1,2594,1020,1776,-132,854,-264,2305,1281,49
1,1,1716,770,1036,-247,681,-278,1147,1180,50
1,1,1297,889,635,-128,568,-147,695,1064,51
1,1,1218,499,415,42,420,-93,380,937,52
1,1,788,245,-146,48,293,-79,161,811,53
1,1,722,59,-50,-2,156,-71,273,683,54
1,1,553,-65,-156,-28,68,-84,421,568,55
1,1,443,-120,-251,-69,-18,-48,476,472,56
1,1,373,-111,-290,-76,-73,11,514,398,57
1,1,356,-41,-295,-26,-136,93,535,352,58
1,1,393,-7,-250,55,-240,166,534,340,59
1,1,498,-4,-186,104,-360,217,468,359,60
1,1,653,80,-92,102,-472,284,335,399,61
1,1,848,356,176,149,-597,366,63,462,62
1,1,1276,557,569,177,-757,437,504,548,63
1,1,1428,1149,1415,182,-1030,472,1315,668,64
1,1,1330,1956,1419,395,-1047,577,925,786,65
1,1,1494,1874,-605,657,-177,-373,1471,340,1
1,1,1482,1273,-818,700,-380,-458,1118,456,2
1,1,1306,672,-938,516,-533,-514,742,545,3
1,1,974,469,-828,450,-817,-480,361,645,4
1,1,931,237,-546,465,-977,-363,105,744,5
1,1,729,-23,-286,331,-1054,-282,216,823,6
1,1,573,-48,97,195,-977,-255,416,864,7
1,1,147,-208,810,76,-742,-240,150,848,8
1,1,0,-222,890,3,-326,-187,82,753,9
1,1,151,-429,961,-22,161,-10,63,635,10
1,1,-272,-327,719,-86,670,154,164,646,11
1,1,-697,-173,187,-124,1269,251,257,777,12
1,1,313,-95,-380,-178,1743,129,498,972,13
1,1,2657,1089,-1121,-355,1743,102,2082,1134,14
1,1,2430,1267,-3537,-171,684,0,3474,1048,15
1,1,2363,677,-2717,138,-735,-55,2663,988,16
1,1,754,115,-1914,17,-735,2,1060,937,17
1,1,1118,533,-2100,-96,-351,-2,1438,822,18
1,1,1520,1093,-1802,4,-385,-76,1598,736,19
1,1,1806,1322,-1243,155,-642,-179,1560,726,20
1,1,1341,926,-900,233,-812,-245,861,756,21
1,1,1131,797,-630,244,-891,-283,520,798,22
1,1,904,481,-71,217,-1060,-342,26,865,23
1,1,762,209,306,200,-1243,-414,152,957,24
1,1,462,58,510,201,-1259,-442,309,1035,25
1,1,282,-60,656,211,-1205,-506,283,1093,26
1,1,454,-131,856,294,-1106,-550,22,1128,27
1,1,652,-306,1117,337,-1150,-493,329,1161,28
