-1845,1212,-14,47,-34,-115,1,0
-2246,1803,-294,63,-13,-271,2,0
-2164,2121,-581,38,-188,-464,3,0
-1614,2329,-532,39,-189,-605,4,0
-944,2579,-628,30,-229,-676,5,0
-517,2437,-681,10,-303,-677,6,0
235,2000,-503,-32,-429,-631,7,0
886,1660,-354,-89,-359,-549,8,0
973,1040,-181,-99,-105,-469,9,0
1213,880,-251,-69,-123,-291,10,0
1642,637,-327,-55,6,-82,11,0
1351,767,-275,-30,77,140,12,0
1334,1258,-311,-24,146,390,13,0
1227,2090,-451,-23,245,639,14,0
1124,3218,-644,1,275,869,15,0
1333,3922,-747,67,238,1065,16,0
1104,3922,-813,150,293,1244,17,0
1336,3922,-1197,158,471,1392,18,0
105,3922,-1732,-41,653,1437,19,0
-771,3922,-1551,-147,158,1292,20,0
-2845,3922,-1086,-9,-124,980,21,0
-395,1122,-94,36,-121,-299,22,0
-372,1534,-190,38,-40,-375,23,0
-140,1889,-338,48,-76,-435,24,0
84,2352,-372,32,-100,-510,25,0
334,2663,-300,15,-184,-554,26,0
681,2877,-300,3,-86,-593,27,0
714,2921,-280,1,-19,-636,28,0
1049,2481,-321,6,-23,-589,29,0
917,1977,-72,36,-74,-459,30,0
1424,1208,-204,37,-272,19,33,0
837,1444,-132,47,-77,60,34,0
947,1239,-313,19,-262,118,35,0
1093,1137,-372,25,-95,139,36,0
-251,1203,-314,45,78,57,37,0
117,887,-172,-27,-194,-1,38,0
-11,877,-130,26,69,-28,39,0
-400,1014,121,6,10,-41,40,0
-141,971,83,-20,-35,-38,41,0
-312,1034,73,-1,25,-48,42,0
-171,998,-69,-5,15,-38,43,0
-254,970,-98,-6,14,-35,44,0
-286,930,-38,-5,-1,-23,45,0
-249,924,-2,-3,-1,-22,46,0
-299,917,-23,-4,7,-33,47,0
-291,910,-72,-6,6,-28,48,0
-320,908,-73,-6,-2,-22,49,0
-275,919,-64,-3,0,-25,50,0
-330,919,-7,-3,0,-17,51,0
-288,929,-6,-3,1,-16,52,0
-322,930,-10,-3,4,-15,53,0
-313,925,-30,-2,1,-11,54,0
-316,917,-42,-2,0,-10,55,0
-320,911,-36,-2,1,-9,56,0
-316,912,-28,-2,0,-8,57,0
-332,905,-25,-2,0,-7,58,0
-341,907,-27,-1,4,-8,59,0
-331,915,-26,-1,1,-3,60,0
-318,914,-33,0,0,-4,61,0
-337,913,-29,0,2,-4,62,0
-324,913,-27,0,0,-3,63,0
-335,913,-19,1,0,-2,64,0
-336,913,-23,0,2,-1,65,0
-590,2702,-492,-44,-142,-737,1,0
-416,2386,-593,-38,-148,-728,2,0
156,1980,-594,-70,-304,-651,3,0
628,1513,-515,-102,-357,-545,4,0
958,1089,-416,-153,-341,-432,5,0
1149,761,-312,-123,-163,-299,6,0
1051,732,-310,-56,-47,-158,7,0
1020,728,-328,-24,-13,-10,8,0
900,1090,-370,33,117,135,9,0
761,1172,-294,15,131,295,10,0
555,1752,-423,29,209,437,11,0
443,2477,-479,13,267,597,12,0
407,3075,-561,-15,338,742,13,0
519,3714,-765,-6,382,927,14,0
737,3922,-805,15,378,1131,15,0
979,3922,-1047,0,445,1335,16,0
244,3922,-1992,-88,581,1399,17,0
-1418,3922,-1141,-155,99,1256,18,0
-2158,3922,-948,-4,-325,945,19,0
-948,2893,-700,-31,-578,450,20,0
619,2317,84,105,120,259,21,0
-139,1794,-275,-9,-108,-413,22,0
209,1893,-219,-48,-111,-467,23,0
468,2410,-387,-23,11,-512,24,0
519,2652,-363,-20,14,-565,25,0
788,2616,-234,-8,13,-594,26,0
988,2650,-382,5,105,-589,27,0
795,2466,-222,34,-11,-531,28,0
1166,1935,-163,9,-199,-428,29,0
1294,1311,-86,21,-129,-282,30,0
1260,1355,-412,14,-407,-75,31,0
1567,1347,-218,65,-173,13,32,0
1308,1480,-272,46,-321,118,33,0
1782,1118,-495,36,-233,179,34,0
-168,1277,-273,65,309,39,35,0
-48,960,-14,-35,-180,-30,36,0
227,975,-143,14,19,-72,37,0
-403,1048,189,-14,30,-119,38,0
-237,938,97,-13,-3,-113,39,0
-363,884,-33,-16,36,-107,40,0
-391,927,-127,-9,10,-65,41,0
-316,932,-155,-7,-8,-39,42,0
-329,901,-34,0,-17,-24,43,0
-362,891,53,0,-12,-18,44,0
-292,908,34,0,2,-15,45,0
-339,905,-24,0,12,-14,46,0
-348,910,-66,3,0,-6,47,0
-310,929,-67,3,-7,-3,48,0
-323,924,-31,2,1,-7,49,0
-298,923,-10,0,0,-4,50,0
-338,909,-28,1,6,-7,51,0
-333,913,-41,1,7,-7,52,0
-337,899,-53,1,3,-5,53,0
-326,904,-32,2,2,-5,54,0
-326,916,-35,2,1,-4,55,0
-326,912,-35,3,1,-4,56,0
-337,911,-43,2,1,-4,57,0
-346,913,-43,3,0,-3,58,0
-325,914,-43,2,1,-4,59,0
-340,912,-45,1,1,-4,60,0
-343,911,-45,0,1,-3,61,0
-337,913,-45,0,1,-4,62,0
-333,911,-38,0,1,-5,63,0
-349,905,-43,0,3,-6,64,0
-342,907,-44,0,0,-4,65,0
-2455,2770,-496,64,-209,-461,1,0
-1795,2726,-684,12,-323,-657,2,0
-982,2913,-623,10,-286,-704,3,0
-502,2806,-513,-51,-280,-709,4,0
105,2370,-493,-112,-230,-673,5,0
525,1965,-479,-123,-177,-593,6,0
811,1660,-461,-122,-242,-500,7,0
1104,1354,-442,-106,-232,-397,8,0
1408,1066,-509,-78,-183,-255,9,0
1470,959,-468,-10,-97,-76,10,0
1229,1072,-393,39,85,92,11,0
983,1382,-298,5,109,270,12,0
837,1939,-451,-52,247,458,13,0
588,2448,-460,-125,321,636,14,0
468,3308,-828,-128,389,816,15,0
334,3922,-892,-115,327,1034,16,0
544,3922,-1026,-49,371,1229,17,0
465,3922,-1279,-76,453,1380,18,0
-209,3922,-2056,-136,454,1485,19,0
-1502,3922,-1149,-180,-126,1299,20,0
-2066,3922,-1454,0,-242,1014,21,0
-741,1075,-259,47,-42,-284,22,0
-583,1335,-277,51,-108,-349,23,0
-167,1848,-357,30,-160,-418,24,0
87,1986,-228,26,-135,-477,25,0
310,2602,-300,15,-102,-547,26,0
737,2763,-277,8,-39,-591,27,0
1049,2676,-266,21,87,-607,28,0
1028,2566,-285,59,147,-559,29,0
1147,2216,-192,84,19,-451,30,0
1212,1877,-105,96,-86,-305,31,0
1528,2231,375,40,-479,-159,32,0
2034,971,-143,80,-290,-27,33,0
2104,1507,234,38,-457,115,34,0
2289,884,-608,34,-136,187,35,0
-654,1403,61,65,418,-18,36,0
391,738,-577,-30,-196,-39,37,0
173,1107,-256,13,178,-65,38,0
-527,913,168,1,71,-70,39,0
-202,877,-91,5,56,-45,40,0
-369,1002,-201,6,22,-13,41,0
-120,956,-173,3,-13,12,42,0
-103,971,-126,4,7,12,43,0
-104,961,-159,5,7,9,44,0
-92,956,-147,5,-3,4,45,0
-91,948,-145,7,2,-1,46,0
-108,949,-186,5,4,-4,47,0
-119,952,-171,4,1,-3,48,0
-106,961,-136,5,2,-3,49,0
-106,952,-159,7,6,-3,50,0
-120,953,-181,8,8,-1,51,0
-107,947,-174,8,4,1,52,0
-113,943,-175,7,4,1,53,0
-112,955,-175,6,2,2,54,0
-106,956,-191,6,5,3,55,0
-107,952,-179,5,3,5,56,0
-85,955,-195,6,6,5,57,0
-115,951,-175,5,4,8,58,0
-96,936,-164,3,-1,9,59,0
-111,950,-177,6,5,10,60,0
-82,956,-196,5,4,11,61,0
-108,952,-176,5,0,12,62,0
-80,951,-185,6,1,12,63,0
-90,950,-190,6,0,11,64,0
-81,954,-192,6,3,12,65,0
-2186,1125,-321,-18,-246,-255,1,0
-1592,1843,-404,7,-169,-469,2,0
-1095,2166,-210,-12,-238,-613,3,0
-656,2198,68,-66,10,-715,4,0
-522,1908,-48,-91,110,-712,5,0
79,1543,-254,-100,45,-627,6,0
299,1207,-401,-63,-84,-550,7,0
622,957,-282,-63,-222,-402,8,0
809,785,-236,-56,-295,-258,9,0
896,645,-107,-31,-204,-102,10,0
928,707,-85,7,-89,66,11,0
947,895,-88,12,46,253,12,0
985,1361,-274,11,208,447,13,0
601,2138,-406,-67,177,652,14,0
927,2777,-645,-7,163,922,15,0
1042,3724,-687,23,173,1160,16,0
1306,3922,-802,76,262,1390,17,0
1087,3922,-1241,52,468,1545,18,0
-298,3922,-2055,-71,409,1576,19,0
-1997,3922,-2023,108,319,1163,20,0
-2554,3288,-640,-112,-655,575,21,0
-485,1403,-228,43,-49,-344,22,0
-261,1757,-370,39,-60,-417,23,0
-104,2130,-342,19,-86,-496,24,0
204,2533,-396,14,-91,-571,25,0
419,2887,-442,22,29,-625,26,0
514,2867,-380,48,64,-639,27,0
556,2829,-374,94,-28,-616,28,0
907,2702,-518,119,-134,-542,29,0
867,2059,-366,98,-281,-425,30,0
1137,1858,-425,71,-369,-277,31,0
922,1626,-355,67,-270,-231,32,0
830,1167,-108,96,14,-110,35,0
927,979,-106,70,-59,-40,36,0
886,632,-182,75,-11,48,37,0
-573,951,-425,83,373,93,38,0
-1020,935,495,-72,-232,88,39,0
-76,1262,-100,26,80,69,40,0
-365,936,-178,23,1,88,41,0
-339,897,-210,25,-11,102,42,0
-324,900,-174,27,-11,112,43,0
-266,924,-190,28,-6,117,44,0
-194,977,-187,33,6,119,45,0
-25,1079,-156,19,51,121,46,0
-122,1068,-197,24,39,91,47,0
-172,983,-354,13,42,90,48,0
-159,953,-256,11,37,95,49,0
-154,937,-217,13,38,96,50,0
-201,881,-235,7,14,90,51,0
-100,935,-193,7,43,82,52,0
61,933,-264,6,45,55,53,0
101,996,-284,7,32,39,54,0
23,981,-264,0,11,20,55,0
24,960,-290,-7,10,10,56,0
34,952,-291,-10,9,9,57,0
20,939,-234,-8,12,7,58,0
57,942,-243,-4,23,7,59,0
52,929,-254,-2,16,8,60,0
34,946,-255,-1,18,7,61,0
18,945,-247,0,20,6,62,0
74,953,-277,0,18,4,63,0
66,934,-263,0,22,0,64,0
74,947,-253,2,36,-2,65,0
-657,864,-153,6,46,20,1,0
-1239,1139,97,-1,-46,39,2,0
-3233,1741,166,12,15,-227,3,0
-2305,1933,-445,-65,-331,-468,4,0
-2107,2953,-423,-16,-178,-728,5,0
-1278,3350,-559,-11,-137,-896,6,0
-802,3008,-639,-13,-174,-903,7,0
-219,2462,-627,-71,-300,-840,8,0
464,2007,-447,-115,-365,-742,9,0
929,1647,-417,-171,-385,-616,10,0
1527,1369,-660,-212,-278,-442,11,0
1731,731,-646,-200,-8,-230,12,0
1771,783,-669,-92,-98,60,13,0
1728,960,-482,3,32,352,14,0
1251,1930,-597,54,192,623,15,0
1008,2674,-502,102,220,870,16,0
804,3565,-749,186,268,1064,17,0
800,3922,-632,202,279,1278,18,0
1189,3922,-851,207,381,1477,19,0
-190,3922,-1353,45,739,1607,20,0
-1124,3922,-1385,-214,113,1580,21,0
-655,695,-206,6,-79,-198,22,0
-387,827,-153,35,-141,-210,23,0
-243,1193,-174,5,-133,-247,24,0
-86,1325,-99,-10,-126,-292,25,0
26,1701,-206,-13,-58,-345,26,0
140,1902,-245,-34,-18,-423,27,0
328,1943,-209,-15,44,-456,28,0
354,2148,-230,-12,52,-477,29,0
581,1947,-226,-3,-34,-445,30,0
527,1848,-133,8,-8,-395,31,0
542,1861,-184,5,-65,-336,32,0
455,1699,-211,-2,-106,-310,33,0
275,1529,-195,14,-78,-302,34,0
139,1423,-222,23,-122,-265,35,0
141,1444,-215,40,-147,-244,36,0
310,1356,-199,56,-163,-219,37,0
251,1171,-62,55,-172,-194,38,0
356,1041,-52,60,-175,-135,39,0
100,917,-144,73,-53,-102,40,0
245,883,-187,45,-219,-44,41,0
363,745,-148,45,-91,14,42,0
-434,937,-91,141,262,20,43,0
-1383,1184,-300,68,65,-49,44,0
-337,787,-119,-50,-270,-19,45,0
-282,651,-59,25,49,-32,46,0
-718,819,-119,72,106,-39,47,0
-688,798,-70,-11,-14,-33,48,0
-600,689,-35,-3,3,-26,49,0
-677,711,-55,1,15,-22,50,0
-685,681,-47,-9,3,-16,51,0
-699,656,-29,0,4,-11,52,0
-708,652,-30,2,0,-8,53,0
-720,646,-33,6,-9,-3,54,0
-712,666,-28,5,-26,-4,55,0
-696,664,-24,-1,-30,-1,56,0
-680,661,-21,0,-22,-1,57,0
-699,676,-21,1,-16,1,58,0
-687,676,-14,-1,-22,1,59,0
-665,681,-13,-2,-15,1,60,0
-667,706,-16,-1,-6,1,61,0
-662,716,-30,-6,-10,3,62,0
-656,715,-34,-5,-11,4,63,0
-648,726,-33,-6,-11,5,64,0
-636,733,-40,-4,-10,5,65,0
-1611,1511,-85,38,408,-18,1,0
-2552,1225,-1275,3,122,-205,2,0
-2222,1790,-1066,-21,-336,-403,3,0
-1350,2082,-317,-26,-365,-595,4,0
-1261,1986,-83,1,-1,-702,5,0
-915,1931,-664,37,-134,-693,6,0
1008,993,-118,-91,-135,-402,9,0
1232,641,-209,-88,-79,-231,10,0
1289,441,-87,-59,12,0,11,0
1201,708,-117,-50,64,262,12,0
1179,1624,-131,-45,107,520,13,0
961,2191,-262,-65,208,781,14,0
994,3296,-480,-4,140,1063,15,0
1186,3922,-667,90,223,1277,16,0
1018,3922,-708,112,348,1401,17,0
204,3922,-920,53,538,1483,18,0
174,3922,-1497,8,170,1658,19,0
-1360,3922,-2464,-40,457,1368,20,0
-3922,2083,-949,-420,-308,564,21,0
-181,1055,-39,26,-63,-303,22,0
-164,1475,-307,39,-15,-352,23,0
50,1763,-248,5,-64,-385,24,0
222,2102,-492,14,-23,-436,25,0
431,2321,-358,3,25,-472,26,0
929,2548,-418,10,-3,-491,27,0
855,2180,-290,76,253,-482,28,0
613,2228,-56,112,-28,-387,29,0
1094,1902,-333,98,-109,-327,30,0
1373,1885,-183,32,-514,-219,31,0
2078,1056,-238,51,-513,-58,32,0
1851,980,-253,40,-411,57,33,0
2015,816,-271,28,-354,142,34,0
914,822,-353,109,112,100,35,0
-409,1346,288,0,56,-26,36,0
148,1027,-66,16,77,-39,37,0
-171,950,-93,1,16,-38,38,0
-168,942,-188,15,0,-3,39,0
-172,932,-127,18,-12,27,40,0
-19,951,-135,23,4,35,41,0
-48,943,-114,28,18,30,42,0
-6,947,-166,31,26,22,43,0
-19,974,-231,32,21,24,44,0
-23,965,-217,31,14,31,45,0
-6,966,-192,31,13,33,46,0
8,973,-227,29,16,33,47,0
5,967,-241,25,6,29,48,0
62,964,-257,19,10,17,49,0
66,946,-257,18,17,10,50,0
54,952,-253,12,7,2,51,0
39,951,-254,11,7,0,52,0
27,949,-257,10,8,0,53,0
-3,985,-252,1,-2,1,54,0
34,958,-258,10,14,4,55,0
35,938,-262,9,9,9,56,0
59,948,-267,7,7,11,57,0
