389,934,336,2,-25,31,1,0
285,937,372,11,-58,40,2,0
302,1053,422,19,-64,60,3,0
146,1117,423,42,-112,105,4,0
29,1370,535,69,-66,179,5,0
117,1790,313,119,-117,248,6,0
-84,2187,385,151,-86,300,7,0
-435,2565,993,297,-198,303,8,0
-798,1719,1298,309,127,312,9,0
261,1129,466,142,501,242,10,0
-1266,1405,799,85,-131,0,11,0
-357,873,-101,59,437,-131,12,0
475,1432,1366,206,682,-483,13,0
-307,1354,631,-3,106,-880,14,0
19,1922,817,-194,11,-1068,15,0
781,3116,699,-302,79,-1296,16,0
-144,3922,1094,-305,3,-1183,17,0
-181,3922,2068,-356,808,-963,18,0
3531,1922,-894,-18,539,-797,19,0
1432,1104,911,37,-361,-75,20,0
1756,286,-762,-5,29,186,21,0
20,2384,514,-2,-127,544,22,0
-122,2353,482,17,-70,597,23,0
155,2218,548,-17,-86,587,24,0
-134,2127,367,3,-189,511,25,0
-608,1842,454,17,-195,451,26,0
-195,1248,283,-39,-63,344,27,0
-1116,1693,429,-110,-506,93,28,0
-3443,1218,1115,-106,-573,-113,29,0
-992,1467,2248,-225,715,-239,30,0
2502,2194,-498,67,307,-216,31,0
-885,417,415,-154,-461,-77,32,0
-575,1007,919,38,336,32,33,0
789,937,-51,-66,176,70,34,0
449,970,196,-9,-48,30,35,0
184,828,390,-28,20,12,36,0
347,836,280,-34,125,-15,37,0
322,946,96,-13,83,-33,38,0
159,978,354,-30,30,-24,39,0
95,903,370,-28,21,-10,40,0
136,910,327,-22,26,1,41,0
226,922,327,-24,0,4,42,0
206,890,321,-26,-17,1,43,0
208,904,326,-30,-21,1,44,0
192,908,376,-26,-11,5,45,0
201,891,364,-18,-17,7,46,0
173,908,357,-11,-3,14,47,0
213,898,380,-9,14,14,48,0
238,894,380,-1,12,16,49,0
231,892,315,3,7,14,50,0
211,911,360,1,5,16,51,0
265,896,369,5,16,12,52,0
246,894,288,11,-20,8,53,0
162,927,356,1,-6,15,54,0
273,889,351,13,30,14,55,0
310,925,354,17,-27,5,56,0
191,877,204,16,-32,3,57,0
162,926,304,8,11,13,58,0
322,892,317,7,30,10,59,0
260,902,223,8,-41,5,60,0
173,908,253,2,-1,13,61,0
268,905,308,6,30,16,62,0
309,920,287,6,-11,11,63,0
235,902,242,4,-9,9,64,0
263,906,264,1,8,10,65,0
241,924,311,6,-25,17,1,0
318,926,319,21,-5,20,2,0
306,902,283,20,-29,23,3,0
210,886,287,39,-14,39,4,0
264,962,266,39,2,61,5,0
273,1082,380,55,-59,94,6,0
-5,1227,563,86,-85,155,7,0
118,1762,322,110,-52,217,8,0
-118,2054,512,151,-45,281,9,0
-736,2197,1021,269,204,308,10,0
1128,1001,1295,231,266,374,11,0
369,1434,387,235,24,210,12,0
-628,588,1145,107,80,5,13,0
-1032,1030,1440,-53,96,-252,14,0
-1211,1136,1440,-269,17,-519,15,0
-1777,1578,1500,-459,197,-778,16,0
-1010,2864,1621,-637,517,-1026,17,0
245,3922,2037,-636,382,-1231,18,0
-557,3922,2836,-498,585,-1099,19,0
2491,3339,1591,-289,299,-835,20,0
1927,1939,-121,-206,-186,-180,21,0
307,1392,390,45,-73,319,22,0
106,1423,344,89,-84,373,23,0
18,1923,561,70,-5,420,24,0
76,1886,521,111,-39,457,25,0
67,1883,520,69,-82,457,26,0
-33,2260,704,79,-71,426,27,0
-33,2236,670,98,-109,448,28,0
-11,1888,701,70,-185,430,29,0
6,1905,807,27,-231,343,30,0
-304,1562,714,78,-185,311,31,0
-76,1280,596,17,-122,269,32,0
-402,1113,596,-59,-184,166,33,0
-441,1113,360,-41,8,79,34,0
-692,848,422,-35,-171,-42,35,0
-1406,989,383,-93,-289,-181,36,0
52,1002,1689,-161,379,-165,37,0
838,1316,309,-47,-74,-137,38,0
