1206,1655,567,263,125,-213,2,1
1304,1511,884,293,162,-243,3,1
1204,1219,890,340,94,-327,4,1
941,697,795,406,136,-377,5,1
831,105,666,410,183,-437,6,1
654,-467,491,306,67,-503,7,1
292,-889,241,141,31,-328,8,1
144,-1199,234,125,196,-197,9,1
528,-2116,198,200,360,-226,10,1
541,-3449,149,-278,136,33,11,1
-281,279,282,134,121,-8,12,1
-212,306,214,221,372,-33,13,1
25,154,174,290,435,-52,14,1
86,176,246,265,228,-55,15,1
2,938,334,249,145,-6,16,1
349,2588,455,302,408,77,17,1
1205,3410,216,353,737,139,18,1
1706,2714,209,146,347,-184,19,1
652,1748,719,50,-354,-449,20,1
67,1265,753,-39,-193,-520,21,1
217,1327,706,-36,513,-394,22,1
639,1204,715,193,744,-338,23,1
681,949,623,324,311,-368,24,1
533,810,457,311,219,-369,25,1
616,542,417,270,397,-293,26,1
675,174,384,161,236,-229,27,1
440,-28,335,-27,-24,-246,28,1
232,-128,341,-106,45,-152,29,1
255,-300,265,-110,223,-88,30,1
368,-591,157,-80,251,49,31,1
562,-668,60,-85,310,323,32,1
1153,-244,-76,-128,481,618,33,1
1853,1218,42,-373,389,579,34,1
1869,3453,149,-257,-101,335,35,1
1391,3066,-264,154,-148,360,36,1
1043,1811,-301,-60,-165,122,37,1
688,1402,-149,-256,-252,-27,38,1
353,1500,-122,-184,-360,-5,39,1
35,1224,-29,-58,-318,15,40,1
-139,962,22,-22,-223,-11,41,1
-192,928,74,2,-115,-13,42,1
-184,797,84,0,-48,-43,43,1
-295,706,133,-56,-109,-96,44,1
-517,689,198,-73,-176,-130,45,1
-743,602,260,-32,-58,-185,46,1
-641,505,299,71,235,-202,47,1
-336,637,263,153,354,-156,48,1
-163,1741,446,105,197,-127,49,1
5,3228,749,-101,256,-307,50,1
350,3922,980,-167,395,-364,51,1
625,2821,963,-6,443,-434,52,1
773,1689,906,189,532,-364,53,1
958,756,811,264,607,-277,54,1
1132,92,592,242,473,-233,55,1
1215,-543,373,282,314,-127,56,1
1285,-1384,337,393,226,35,57,1
1226,-1935,468,183,-8,187,58,1
905,-1247,608,-156,-138,331,59,1
1032,-439,446,-243,145,440,60,1
1577,721,398,-472,234,449,61,1
1644,3922,1131,-590,-230,313,62,1
1275,3922,373,-173,-495,235,63,1
394,2973,169,-206,-563,43,64,1
72,1885,80,-81,-485,65,65,1
1662,3315,464,-146,-609,-16,1,1
-117,1487,695,-137,-1497,-115,2,1
-1127,563,290,36,-657,21,3,1
-470,156,-54,114,237,154,4,1
-4,-134,-135,57,-96,139,5,1
-387,56,130,40,-534,66,6,1
-610,132,337,97,-276,-2,7,1
888,-371,-46,260,426,-250,8,1
732,-809,-123,151,10,-173,9,1
609,-1035,36,47,0,-14,10,1
936,-848,246,-47,190,240,11,1
-675,803,58,75,-164,5,12,1
-765,399,140,22,-164,-36,13,1
-811,323,239,-59,-127,-113,14,1
-762,179,330,-92,-64,-179,15,1
-721,205,416,-83,-15,-228,16,1
-643,534,402,-49,126,-224,17,1
