1,-125,898,-69,-2,-62,-55,1
2,-4,893,-189,4,-65,-77,1
3,-41,1008,-125,-4,-26,-110,1
4,-55,1134,33,2,-20,-134,1
5,35,1306,47,9,-3,-173,1
6,227,1657,-153,142,19,-204,1
7,356,1791,-212,127,2,-255,1
8,-369,1736,70,45,-209,-158,1
9,-204,574,-430,51,-220,-201,1
10,-125,723,-563,134,-11,-14,1
11,-79,700,-534,-30,-20,-70,1
12,-261,346,168,-90,-25,3,1
13,240,217,151,-74,-89,123,1
14,575,148,0,-86,77,200,1
15,154,272,42,-73,323,244,1
16,-178,590,102,-161,283,286,1
17,178,789,-115,-198,323,383,1
18,425,1121,-449,-131,559,382,1
19,-3922,2006,-3922,-638,378,-477,1
20,-1985,104,2013,525,-918,271,1
21,2466,2409,726,-112,16,-55,1
22,-212,930,-32,-35,30,-65,1
23,-158,1080,-22,-41,30,-73,1
24,-67,1083,33,-49,72,-111,1
25,3,1353,-28,-43,98,-148,1
26,65,1399,9,-25,100,-185,1
27,363,1738,-291,-21,56,-202,1
28,305,1549,-50,-6,-83,-256,1
29,59,1043,-571,-41,-68,-293,1
30,-180,959,-689,88,203,-258,1
31,-577,1024,-308,-64,273,-172,1
32,-294,850,-453,5,257,-122,1
33,366,596,-509,-182,28,-47,1
34,443,312,-587,-104,261,57,1
35,-237,697,-443,-128,388,88,1
36,-111,447,-116,-160,210,264,1
37,-21,589,-342,-80,167,355,1
38,-65,617,-277,-83,153,415,1
39,-55,785,-251,-43,99,507,1
40,-34,1068,-275,-19,102,592,1
41,-185,1467,-200,44,102,683,1
42,-418,2553,-175,-25,108,686,1
43,-945,2121,-852,-161,-16,562,1
44,-3191,1437,-659,-11,546,450,1
45,-135,916,713,10,-656,-401,1
46,1461,1179,-2331,-85,-250,11,1
47,-389,1748,-11,252,736,-296,1
48,-176,1086,497,-59,-112,-80,1
49,237,1106,-206,93,-7,-70,1
50,434,865,-112,-9,-103,-58,1
51,469,815,-472,56,-78,-120,1
52,298,854,-291,18,-93,-125,1
53,326,940,-184,-7,-129,-128,1
54,313,906,-305,5,-68,-171,1
55,161,915,-291,-29,-86,-171,1
56,112,957,-158,-28,-58,-163,1
57,54,933,-227,-18,-62,-150,1
58,32,943,-209,-17,-74,-142,1
59,60,948,-198,-11,-69,-162,1
60,51,1006,-237,-9,-66,-200,1
61,87,1124,-251,-27,-60,-238,1
62,103,1366,-128,-42,-62,-267,1
63,95,1496,81,-14,-35,-307,1
64,366,1645,-267,78,-12,-403,1
65,680,2282,134,199,8,-375,1
1,494,3467,736,5,-216,-478,1
2,143,1412,-180,15,-513,-235,1
3,1351,1610,-1951,269,117,-218,1
4,63,665,-585,-271,-2,-239,1
5,-695,475,763,-202,375,-49,1
6,-311,143,-124,-1,68,156,1
7,151,-5,-369,34,-196,224,1
8,518,130,101,-76,6,324,1
9,269,327,-143,-81,206,500,1
10,-157,644,-247,-98,52,558,1
11,159,882,-224,-100,52,648,1
12,5,1513,-391,-93,148,711,1
13,-127,2456,-1162,10,324,822,1
14,-1486,2977,-1405,-118,165,563,1
15,-3922,2036,-1369,-125,48,731,1
16,-1288,822,-422,12,-641,-418,1
17,3665,2986,1090,-303,-1075,214,1
18,319,780,51,374,1435,-486,1
19,-2253,1125,-3236,175,33,-554,1
20,402,395,-868,55,-76,-151,1
21,96,945,-264,24,-58,-145,1
22,897,118,-175,120,-224,370,1
23,509,271,275,274,313,407,1
24,-281,1178,7,207,209,525,1
25,-83,762,325,-86,-121,606,1
26,88,1205,203,87,36,699,1
27,-452,1776,-19,-25,-48,782,1
30,-1652,1591,-554,-13,202,182,1
31,-119,868,-387,-114,-214,-350,1
32,890,2467,-3321,-72,-150,168,1
33,-291,1604,788,79,689,-432,1
34,-1100,1125,307,149,-29,-188,1
35,598,888,-930,52,-82,-141,1
36,37,855,-474,1,-136,-56,1
37,478,859,-185,8,-90,-79,1
38,40,872,-422,14,-84,-71,1
39,424,833,-444,-7,-124,-69,1
40,238,873,-387,-9,-67,-126,1
41,41,890,-449,-12,-83,-118,1
42,161,899,-395,-9,-81,-116,1
43,92,899,-409,0,-83,-133,1
44,-3,881,-397,6,-97,-134,1
45,-31,979,-319,18,-82,-119,1
46,73,1024,-276,27,-95,-151,1
47,50,1088,-438,26,-97,-202,1
48,187,1211,-383,58,-147,-222,1
49,-33,1239,-261,44,-136,-287,1
50,292,1583,-666,250,-102,-252,1
51,255,2183,408,95,-307,-202,1
52,171,1627,-268,116,-535,-90,1
53,216,1587,-1252,278,-318,-235,1
