Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
6,844,732,2935,-107,919,-182,2140,662,5
7,843,634,2563,-124,911,-184,1771,717,5
8,838,526,2032,-125,871,-174,1260,752,5
9,963,661,1824,-158,793,-150,1165,766,5
10,1134,237,816,-62,770,-80,417,768,5
11,690,160,81,-4,602,2,287,735,5
12,904,57,-334,8,479,37,34,684,5
13,665,144,-644,-12,286,35,63,604,5
14,518,202,-759,-63,115,19,59,510,5
15,391,192,-607,-35,87,27,252,427,5
16,362,214,-571,-6,-14,25,290,347,5
17,325,268,-547,-15,-83,22,309,295,5
18,337,258,-569,13,-136,28,290,264,5
19,401,247,-556,42,-193,44,271,251,5
20,547,249,-422,64,-292,34,265,261,5
21,688,276,-207,83,-430,19,230,296,5
22,919,279,198,120,-566,7,19,353,5
23,1090,319,654,121,-654,42,310,415,5
24,1371,411,1192,143,-712,139,862,480,5
25,1771,522,2439,78,-838,146,2059,555,5
26,1365,824,3206,43,-1006,104,2580,646,5
27,2233,865,3436,88,-929,201,3188,707,5
28,2631,1095,4378,146,-1128,247,4223,798,5
29,2597,1244,4789,133,-1147,313,4588,878,5
30,2158,990,4384,-100,-987,84,3985,901,5
31,1886,885,3725,-352,-767,-348,3268,903,5
32,2205,744,3082,-236,-644,-461,2861,888,5
33,2330,402,2843,-8,-717,-366,2697,871,5
34,1811,254,2858,157,-815,-212,2392,868,5
35,1381,293,2658,198,-769,-95,2009,854,5
36,1068,276,2196,136,-705,-117,1457,829,5
37,673,176,1801,35,-651,-216,930,800,5
38,287,190,1512,21,-612,-258,550,773,5
39,-114,-49,1467,46,-581,-276,472,747,5
40,-543,-85,1372,84,-458,-204,477,699,5
41,-489,-129,1102,105,-314,-129,212,630,5
42,-441,-181,926,56,-187,-107,41,548,5
43,-539,-94,812,0,-113,-77,20,466,5
44,-514,-27,801,-4,-5,-33,47,379,5
45,-354,-117,886,-9,82,-14,38,320,5
46,-172,-269,974,-50,211,24,24,299,5
47,254,-259,1066,-117,347,88,126,315,5
48,592,-115,1157,-137,424,138,304,345,5
49,1121,-25,1462,-152,525,195,842,392,5
50,1692,163,1896,-159,602,257,1546,448,5
51,2105,305,2168,-190,738,295,2037,522,5
52,2596,492,2596,-218,818,305,2704,597,5
53,3238,599,3314,-237,903,337,3671,676,5
54,3552,924,3911,-209,1017,380,4363,762,5
55,3871,1239,3992,-126,1015,337,4697,824,5
56,3920,1126,3883,-209,991,171,4631,865,5
57,3475,1075,3741,-253,993,132,4217,898,5
58,3159,1035,3413,-104,932,208,3764,911,5
59,2850,1172,2727,6,821,140,3114,895,5
60,2563,979,1708,-100,690,-58,2231,856,5
61,1961,933,1044,-123,443,-143,1409,781,5
62,1342,765,464,-105,308,-190,612,700,5
63,1014,444,253,-153,277,-187,135,633,5
64,688,318,173,-175,245,-103,222,570,5
65,386,283,-32,-122,242,0,1365,510,5
1,44,424,1984,-84,553,-66,1029,359,5
2,11,361,2178,-98,605,-67,1207,410,5
3,-55,350,2465,-116,675,-64,1490,466,5
4,-55,292,2581,-143,748,-67,1598,525,5
5,-60,254,2503,-171,780,-77,1516,580,5
6,-28,209,2242,-183,793,-65,1251,627,5
7,58,205,1925,-159,747,-46,936,655,5
8,168,172,1410,-128,686,-23,430,663,5
9,226,153,952,-124,608,-11,9,655,5
10,260,140,551,-105,522,14,374,630,5
11,320,185,89,-58,487,72,619,603,5
12,387,100,-338,-64,403,75,476,565,5
13,192,441,-498,-79,251,65,307,506,5
14,57,82,-139,-180,45,156,828,453,5
15,-157,316,-425,-37,36,41,447,375,5
16,-161,395,-457,-32,98,-3,374,321,5
17,-154,292,-511,-30,63,-36,391,272,5
18,-197,289,-530,-13,26,-42,364,228,5
19,-140,356,-581,20,3,-58,304,194,5
20,-71,297,-552,13,-25,-89,369,174,5
21,-146,311,-539,-13,-95,-51,360,161,5
22,65,317,-410,5,-136,-60,477,158,5
25,635,182,211,192,-488,-69,306,281,5
26,862,150,502,185,-489,13,8,329,5
27,1183,254,890,157,-572,95,502,383,5
28,1597,286,1907,172,-728,144,1503,459,5
29,1564,469,2847,156,-903,258,2281,557,5
30,2287,492,3198,79,-896,315,2962,636,5
31,2647,722,4315,38,-1104,273,4113,736,5
32,2901,730,5221,-5,-1186,271,5017,832,5
33,2290,543,5159,-201,-1063,69,4670,882,5
34,1956,505,4438,-377,-849,-266,3876,899,5
35,2164,437,3703,-282,-749,-423,3311,900,5
36,2473,26,3317,-139,-783,-427,3137,900,5
37,2027,83,3188,0,-855,-332,2778,904,5
38,1504,127,2938,149,-863,-196,2303,902,5
39,993,201,2400,153,-852,-189,1605,899,5
40,697,90,1948,43,-769,-330,1070,886,5
41,292,51,1567,-20,-679,-418,594,868,5
42,139,-361,1569,-60,-562,-431,615,837,5
43,-124,-540,1446,-72,-429,-321,548,777,5
44,-621,-294,1215,22,-331,-203,395,699,5
45,-507,-412,1081,65,-218,-112,263,610,5
46,-540,-418,1008,21,-131,-48,217,516,5
47,-493,-169,1001,-34,3,5,128,420,5
48,-265,-6,975,-35,106,44,10,359,5
49,6,-50,924,-36,234,100,74,339,5
50,396,-91,907,-110,339,122,6,346,5
51,663,141,1154,-121,419,182,338,371,5
52,934,87,1285,-98,560,258,590,422,5
53,1508,-24,1410,-135,728,323,1064,499,5
54,2004,157,2197,-198,669,317,1977,552,5
55,2363,368,2676,-214,800,360,2588,622,5
56,2827,304,3261,-295,1057,383,3326,730,5
57,3045,483,3798,-330,950,331,3891,795,5
58,3185,451,4155,-339,992,383,4254,859,5
59,3261,782,4307,-225,1013,469,4458,915,5
60,3049,751,4162,-72,965,435,4213,944,5
61,2779,641,3545,-96,963,260,3549,955,5
62,2303,615,2963,-162,864,117,2802,941,5
63,1841,670,2492,-92,720,124,2169,900,5
64,1495,667,2057,27,614,123,1628,845,5
65,1273,556,1421,51,499,11,2349,776,5
1,420,558,1880,-31,503,-130,1005,315,5
2,474,546,2114,-45,565,-149,1234,369,5
3,499,465,2359,-49,631,-143,1455,425,5
4,534,456,2628,-90,706,-147,1720,485,5
5,543,442,2791,-129,772,-160,1877,547,5
6,584,379,2785,-164,827,-156,1870,609,5
7,549,457,2611,-163,855,-124,1706,663,5
8,567,403,2243,-115,846,-82,1348,702,5
9,514,358,1808,-101,772,-90,913,718,5
10,464,289,1295,-119,714,-97,405,720,5
11,441,254,805,-113,630,-55,47,704,5
12,384,211,406,-69,542,-14,402,673,5
13,301,174,17,-22,438,31,651,626,5
14,139,165,-310,-2,349,63,622,571,5
17,-130,328,-620,-144,121,-21,286,394,5
18,-189,219,-523,-66,17,13,402,329,5
19,-250,265,-560,-32,46,6,331,274,5
20,-316,269,-582,-24,18,-14,285,226,5
21,-289,251,-621,4,5,-26,270,186,5
22,-263,237,-660,10,-20,-45,251,158,5
23,-267,240,-679,2,-59,-59,231,143,5
24,-137,242,-621,8,-114,-43,319,139,5
