AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
-779,-238,2419,-314,-413,-456,1552,848,False,5
-1127,-773,1912,-331,-123,-412,1350,787,False,5
-842,-835,1585,-284,108,-318,979,717,False,5
-916,-882,1326,-180,156,-152,837,630,False,5
-598,-738,1302,5,237,37,611,552,False,5
-262,-599,1267,140,360,176,425,526,False,5
223,-477,1340,191,475,237,439,534,False,5
746,-490,1488,170,601,248,735,561,False,5
1248,-450,1593,105,736,261,1073,606,False,5
1737,-259,2129,94,845,282,1759,664,False,5
2648,-143,2893,155,985,316,2924,740,False,5
3550,-344,3603,77,1143,258,4069,827,False,5
4030,-482,4032,-69,1250,237,4721,916,False,5
4180,189,4301,32,1212,330,5000,984,False,5
4294,478,4523,225,1064,320,5254,1014,False,5
4064,686,4607,271,951,167,5181,1011,False,5
3890,519,4437,204,888,-61,4923,991,False,5
3484,484,3891,-39,888,-308,4245,981,False,5
2851,334,2790,-225,865,-378,3002,979,False,5
2568,848,2524,-97,710,-169,2699,930,False,5
2198,732,1883,136,625,-4,3308,872,True,5
685,1539,980,-183,2,-130,948,106,False,5
630,1555,1394,-167,161,-211,1181,147,False,5
528,1309,1950,-313,383,-340,1407,238,False,5
583,1269,2667,-379,712,-402,2010,370,False,5
959,933,2966,-202,891,-332,2253,491,False,5
1087,639,2972,-50,926,-257,2228,585,False,5
1106,433,2946,-18,980,-232,2176,669,False,5
1154,275,2675,-111,1009,-251,1926,744,False,5
1086,242,2066,-178,1031,-221,1346,809,False,5
1195,237,1088,-159,933,-137,633,838,False,5
977,276,531,20,730,-11,145,817,False,5
776,135,19,165,579,26,212,774,False,5
650,31,-486,95,435,-25,187,708,False,5
474,130,-606,7,268,-81,219,622,False,5
275,178,-611,-16,103,-97,306,526,False,5
199,190,-525,4,14,-79,407,437,False,5
141,161,-532,22,-51,-48,426,364,False,5
183,115,-598,19,-91,-7,364,310,False,5
296,108,-581,0,-160,32,339,280,False,5
421,207,-483,-1,-255,48,326,276,False,5
581,320,-326,42,-396,41,260,301,False,5
762,358,-41,128,-576,48,157,359,False,5
924,365,329,213,-690,104,46,433,False,5
1205,399,467,194,-646,177,352,485,False,5
1926,551,866,136,-693,221,1182,536,False,5
2426,853,1595,135,-882,297,2026,617,False,5
3065,1103,2173,163,-893,394,2915,691,False,5
3863,1374,2951,195,-913,509,4051,765,False,5
3835,1397,3437,84,-1000,502,4335,837,False,5
3674,1112,3356,-244,-854,281,4098,855,False,5
3416,1235,3315,-305,-758,111,3917,849,False,5
3521,817,2771,-163,-680,85,3554,820,False,5
3639,495,2658,-167,-761,54,3533,812,False,5
3361,518,2864,-148,-860,52,3446,824,False,5
2876,543,2915,-114,-868,80,3130,835,False,5
2281,677,2853,-77,-837,113,2714,838,False,5
1472,793,2454,-30,-776,141,1969,828,False,5
699,701,1868,-70,-696,103,1114,803,False,5
206,661,1549,-207,-612,-30,696,772,False,5
-516,733,1845,-226,-564,-155,1051,743,False,5
-908,410,1916,-158,-467,-202,1159,701,False,5
-1302,280,2093,-54,-238,-176,1480,620,False,5
-935,-2,1712,104,-3,-80,950,522,False,5
-517,-40,1635,175,154,-28,715,465,False,5
-276,28,1560,181,286,6,584,439,False,5
250,104,1466,154,472,-4,490,450,False,5
839,57,1581,88,561,-58,790,474,False,5
1396,79,1742,15,655,-79,1233,511,False,5
2161,273,2051,-33,769,-95,1991,564,False,5
2801,203,2622,-41,820,-104,2842,616,False,5
3524,122,3045,-99,952,-42,3658,685,False,5
4119,316,3526,-130,1065,-3,4431,762,False,5
4829,341,3934,-53,1098,78,5237,830,False,5
5299,558,3854,180,1160,253,5576,904,False,5
5074,498,3246,422,1071,234,5044,958,False,5
4660,380,2702,351,901,44,4400,959,False,5
4089,512,2257,242,725,-110,3698,922,False,5
3354,263,1482,26,561,-320,2676,867,False,5
2581,240,1004,-260,515,-420,1779,836,False,5
1794,491,765,-320,434,-367,2826,799,True,5
589,1805,1365,-31,43,-34,1338,59,False,5
322,1952,1672,-16,218,-197,1590,106,False,5
688,1594,2183,-210,505,-359,1789,216,False,5
757,1351,2789,-311,679,-440,2190,346,False,5
1213,1054,3492,-250,964,-399,2844,491,False,5
1402,514,3686,-152,1053,-297,2976,613,False,5
1527,436,3488,-170,1142,-263,2832,727,False,5
1683,401,2930,-163,1171,-206,2402,822,False,5
1606,333,2035,-127,1114,-144,1613,883,False,5
1501,299,1221,-89,973,-79,957,903,False,5
1284,321,562,-7,823,-9,437,887,False,5
1231,202,-175,78,636,33,259,837,False,5
966,142,-568,65,383,11,129,747,False,5
649,188,-610,73,212,-6,89,643,False,5
237,158,-535,37,-30,23,393,363,False,5
260,172,-616,29,-52,61,309,307,False,5
386,208,-693,18,-102,79,179,272,False,5
526,221,-647,11,-219,52,137,262,False,5
678,189,-481,0,-378,-4,147,285,False,5
825,230,-180,1,-562,-42,124,341,False,5
1095,272,254,54,-696,-18,156,412,False,5
1399,257,728,94,-769,64,597,485,False,5
1825,321,1238,86,-802,162,1228,552,False,5
2496,412,1768,53,-850,240,2086,619,False,5
3400,469,2814,23,-967,322,3438,699,False,5
4301,583,4293,-8,-1119,409,5104,797,False,5
4257,484,5646,-98,-1161,447,6087,887,False,5
3218,700,5460,-362,-928,264,5376,915,False,5
2243,715,4777,-383,-728,-15,4325,897,False,5
2787,41,4049,-385,-551,-216,3915,858,False,5
3372,-254,3550,-288,-657,-211,3902,836,False,5
3014,-208,3743,-135,-974,-109,3810,867,False,5
2398,76,3950,-8,-1094,43,3621,912,False,5
1741,299,3538,14,-969,170,2954,926,False,5
1097,565,2812,-71,-878,101,2070,918,False,5
499,423,2138,-273,-775,-149,1235,901,False,5
-277,576,1905,-362,-660,-310,1009,884,False,5
-763,553,1868,-256,-535,-322,1092,842,False,5
-1231,435,1608,-128,-352,-285,1071,767,False,5
-944,-16,1090,101,80,-98,442,488,False,5
-641,-81,1023,162,217,-20,209,445,False,5
-243,-125,956,169,352,8,5,434,False,5
152,-180,1030,141,455,1,56,442,False,5
541,-237,1215,97,539,-4,350,463,False,5
927,-234,1501,53,620,14,779,495,False,5
1422,-153,1954,63,714,37,1421,539,False,5
2093,-54,2631,74,810,52,2362,594,False,5
2787,77,3474,18,945,33,3454,664,False,5
3430,-45,3973,-22,1082,37,4248,748,False,5
4116,453,4031,-19,1104,58,4778,819,False,5
