Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,810,767,-1204,185,-391,-162,641,275,0
2,1248,1131,-1180,155,-242,-243,1056,295,0
3,1683,982,-998,360,-416,-211,1189,354,0
4,1200,1215,-995,74,-474,-315,976,398,0
5,1806,1405,-732,327,-291,-397,1402,436,0
6,1889,750,-396,681,-524,-278,1070,529,0
7,1389,207,-555,490,-538,-269,510,578,0
8,1710,-50,-364,283,-430,-282,749,580,0
9,1259,-300,-65,335,-583,-230,295,606,0
10,831,-687,-99,378,-467,-182,82,610,0
11,867,-1416,-87,599,-414,-97,662,635,0
12,580,-2415,281,835,-554,98,1499,709,0
13,413,-3129,921,886,-466,444,2287,786,0
14,116,-2720,717,166,76,366,1815,710,0
15,1116,-2274,349,-45,609,242,1557,699,0
16,1612,-2166,253,595,186,614,1711,734,0
17,1515,-2572,-214,497,377,601,1992,761,0
18,2755,-1984,-692,221,648,531,2464,782,0
19,2377,-1946,-906,550,281,670,2202,807,0
20,2273,-2191,-733,565,505,626,2241,842,0
21,2668,-2241,-718,557,602,663,2557,884,0
22,3441,-2830,-1160,584,780,720,3603,950,0
23,4453,-2950,-1414,197,940,778,4525,1007,0
24,5246,-1117,-1624,-72,925,837,4604,1055,0
25,4756,89,-2147,174,381,894,4218,1041,0
26,2638,301,-1999,-4,101,667,2323,968,0
27,2170,841,-1726,-486,394,551,1897,941,0
28,2676,1908,258,-1036,371,191,2296,976,0
29,1142,2332,525,-96,-435,95,1649,871,0
30,340,1065,78,532,450,357,120,853,0
31,1474,865,345,320,505,207,743,809,0
32,807,905,-337,176,280,0,258,713,0
33,1386,804,-167,321,734,-10,610,731,0
34,1606,628,-242,399,422,-4,741,700,0
35,1185,513,-300,325,485,-180,325,682,0
36,1719,402,27,246,772,-325,765,720,0
37,2161,250,121,319,762,-285,1178,751,0
38,2186,50,32,483,747,-194,1186,782,0
39,2427,-374,-110,464,601,-144,1458,780,0
40,2264,-117,-65,242,429,-207,1267,731,0
41,2077,-26,-6,296,243,-140,1077,666,0
42,1633,-115,153,307,146,-165,644,608,0
43,1253,-429,360,264,100,-157,372,551,0
44,1230,-187,412,135,208,-65,310,492,0
45,1614,-101,68,421,256,79,618,493,0
46,1357,-1055,382,822,185,320,760,575,0
47,988,-700,654,406,52,291,376,560,0
48,1010,-125,375,-266,273,24,84,524,0
49,954,253,696,39,-20,9,207,428,0
50,845,-6,527,256,65,68,4,397,0
51,848,18,550,14,-2,63,10,330,0
52,856,69,542,57,29,41,15,279,0
53,1029,36,421,-87,15,-19,112,241,0
54,1089,218,371,-135,0,-30,170,220,0
55,1054,225,350,-11,-18,-2,133,180,0
56,956,161,421,17,-10,8,56,148,0
57,883,144,483,5,-11,0,16,121,0
58,861,116,488,25,5,0,3,102,0
59,923,110,456,-2,14,0,35,84,0
60,947,169,452,-37,-5,-4,62,75,0
61,927,237,465,-52,-16,-11,63,71,0
62,919,267,468,-26,-12,-11,65,62,0
63,916,246,432,11,-4,-3,42,52,0
64,935,210,423,28,2,2,47,47,0
65,931,164,414,38,0,1,60,45,0
1,798,-3029,232,274,659,92,2140,658,0
2,1623,-2795,-128,285,704,254,2234,687,0
3,2155,-2905,-382,528,559,461,2637,728,0
4,2300,-3044,-386,443,607,523,2834,766,0
5,2797,-2798,-284,294,803,574,2966,818,0
6,3294,-2548,-23,284,860,696,3164,883,0
7,4321,-2230,393,233,1161,800,3878,992,0
8,5888,-2525,1150,71,1450,884,5508,1133,0
9,6773,-2383,1110,-448,1204,855,6265,1215,0
10,6328,383,-585,-610,527,950,5366,1221,0
11,4216,1465,-383,-468,-23,872,3479,1174,0
12,2226,1204,-137,-564,177,261,1534,1069,0
13,2211,1508,269,-512,175,324,1689,981,0
14,1778,1218,-151,474,128,622,1160,943,0
15,2119,381,-410,568,343,444,1191,914,0
16,1627,554,-1203,-68,215,188,1097,790,0
17,1982,1111,-886,-158,300,109,1438,703,0
18,1644,1113,-689,287,135,65,1101,627,0
19,1209,837,-716,404,167,-46,635,589,0
20,1366,681,-853,463,292,-177,748,586,0
21,1633,396,-680,552,188,-200,812,592,0
22,1311,-75,-660,516,117,-311,469,596,0
23,1081,-47,-355,232,280,-484,138,598,0
24,1574,38,-264,271,411,-457,596,612,0
25,1550,44,-260,307,286,-394,572,605,0
26,1259,-11,-92,275,339,-386,262,600,0
27,1446,14,160,186,432,-338,454,596,0
28,1486,106,243,169,425,-327,509,589,0
29,1448,188,181,215,356,-228,471,566,0
30,1273,-17,293,359,273,-93,306,545,0
31,1220,-197,357,213,189,-48,286,493,0
32,1055,14,454,105,144,-23,148,430,0
33,1251,167,446,73,213,21,338,389,0
34,1277,199,573,258,173,52,413,374,0
35,1058,-209,524,422,110,87,199,388,0
36,882,-291,443,217,107,48,29,360,0
37,947,-179,446,152,125,69,61,329,0
38,991,-26,441,90,86,91,85,294,0
39,1009,76,478,103,51,111,119,267,0
40,929,66,442,73,21,89,30,237,0
41,946,83,408,-20,48,53,33,204,0
42,996,195,385,-124,36,-1,85,189,0
43,1013,323,360,-166,34,-37,122,186,0
44,1032,418,350,-137,2,-36,167,177,0
45,941,422,412,-43,-29,-8,110,152,0
46,899,347,442,22,-31,13,60,129,0
47,871,296,475,31,-31,29,35,114,0
48,863,257,491,47,-17,32,25,103,0
49,863,223,465,33,-5,22,5,90,0
50,875,230,456,-21,10,-2,13,76,0
51,906,263,448,-16,21,-3,44,66,0
52,929,248,414,25,26,7,46,60,0
53,955,214,368,11,22,4,45,53,0
54,973,231,370,-37,5,-8,66,50,0
55,942,261,399,-45,-12,-14,55,49,0
56,906,258,424,-29,-14,-11,33,46,0
57,889,259,436,-40,-9,-11,23,45,0
58,892,275,443,-36,-3,-8,33,43,0
59,924,279,431,-27,1,-8,57,40,0
60,925,287,424,-33,-4,-11,57,39,0
61,910,291,410,-31,-3,-11,39,38,0
62,910,290,409,-17,-5,-8,38,34,0
63,905,278,420,-18,-4,-7,35,31,0
1,1485,1640,301,162,-193,-144,1232,228,0
2,1291,1950,618,376,-330,-276,1418,297,0
3,1257,1613,446,524,-212,-323,1093,367,0
4,1703,1712,552,379,-214,-415,1477,414,0
5,1531,1548,329,588,-281,-419,1201,486,0
6,1761,1126,140,586,-193,-473,1094,544,0
7,1614,851,128,474,-334,-482,829,586,0
8,1183,783,-62,392,-280,-461,420,602,0
9,1647,634,-109,501,-159,-433,768,618,0
10,1567,234,76,633,-359,-331,586,654,0
11,999,-271,65,677,-375,-269,37,687,0
12,1056,-533,69,310,-306,-277,184,652,0
13,1030,-461,159,354,-265,-263,139,625,0
14,829,-1275,438,861,-309,-97,582,683,0
15,313,-1884,946,701,-468,59,1131,715,0
