Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
7,4934,1066,-858,352,-943,-239,4120,643,7
8,4738,1265,-563,389,-916,-200,3936,718,7
9,4410,1263,-174,496,-928,-164,3590,787,7
10,3704,1029,30,438,-962,-123,2844,842,7
11,2868,979,141,377,-868,-107,2033,864,7
12,2362,995,231,400,-739,-103,1573,860,7
13,2026,983,348,518,-618,-76,1278,850,7
14,1619,622,384,554,-570,-26,776,839,7
15,1287,429,354,490,-487,-7,402,809,7
16,986,408,334,433,-365,5,118,760,7
17,862,519,306,499,-240,-15,51,719,7
18,806,492,403,636,-190,68,26,708,7
19,902,393,460,543,-197,217,86,690,7
20,991,1302,539,534,-159,197,722,670,7
21,656,1578,724,706,54,124,855,679,7
22,589,1215,665,805,309,67,505,716,7
23,714,848,286,736,595,77,144,763,7
24,905,918,-144,612,902,132,297,829,7
25,918,1074,-605,578,1063,168,536,908,7
26,1122,1241,-1164,371,1109,306,1038,968,7
27,228,1453,-1514,292,1342,315,1110,1056,7
28,2168,1064,-1550,305,1538,353,1869,1166,7
29,2449,2786,-2435,232,1464,478,3437,1244,7
30,2825,2190,-2292,897,1558,-94,3246,1355,7
31,2499,358,-2585,833,913,-387,2613,1343,7
32,2036,-446,-2531,332,641,-262,2278,1228,7
33,2211,-132,-2242,166,294,-192,2151,1060,7
34,1963,182,-1443,191,-5,-187,1443,901,7
35,1742,226,-722,287,-113,-236,899,798,7
36,1550,297,-271,370,-108,-348,601,742,7
37,1538,24,58,484,-88,-411,539,722,7
38,1615,-260,-78,422,-12,-395,637,693,7
39,1484,-82,-53,260,11,-243,487,626,7
40,1456,60,58,162,-9,-129,458,542,7
41,1159,153,143,182,-69,-109,177,478,7
42,981,170,-1,202,-16,-74,4,425,7
43,927,169,-202,144,-3,-76,36,372,7
44,970,126,-87,80,-29,-97,17,324,7
45,949,87,-124,35,-40,-100,38,281,7
46,934,47,-165,-11,-42,-92,50,245,7
47,870,55,-162,-63,-53,-78,113,219,7
48,840,122,-148,-95,-40,-70,138,200,7
51,747,259,-297,-22,97,-8,155,151,7
52,784,240,-396,0,108,-3,89,142,7
53,796,256,-467,1,118,-6,42,137,7
54,812,251,-505,2,114,11,11,133,7
55,856,189,-544,-25,93,32,31,126,7
56,891,200,-511,-76,42,64,46,122,7
57,812,308,-452,-94,25,96,20,125,7
58,805,428,-438,-71,55,111,11,128,7
59,874,452,-466,-47,68,115,88,131,7
60,900,466,-476,-39,53,112,119,130,7
61,899,459,-508,-40,46,99,130,127,7
62,954,429,-486,-68,23,81,153,123,7
63,943,409,-409,-119,-19,77,106,127,7
64,852,522,-314,-121,-18,83,47,131,7
65,828,585,-267,-70,9,85,83,127,7
1,1550,498,-1431,228,-175,-79,1167,214,7
2,2058,610,-1751,250,-246,-107,1770,244,7
3,2619,501,-2095,309,-354,-104,2391,291,7
4,3309,445,-2322,153,-474,-90,3066,334,7
5,3942,1073,-1980,-9,-663,-116,3539,402,7
6,4398,1489,-1458,84,-784,-231,3866,486,7
7,4509,1635,-829,279,-873,-250,3867,578,7
8,4224,1523,-501,397,-868,-264,3518,660,7
9,4026,1405,-137,489,-871,-269,3266,735,7
10,3414,1125,47,483,-876,-237,2594,794,7
