Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
6,3491,2101,101,486,-447,-278,3075,448,7
7,3580,1779,444,595,-580,-280,3022,533,7
8,3382,1358,670,624,-699,-312,2705,624,7
9,3042,1013,818,659,-737,-312,2308,706,7
12,1699,311,735,563,-591,-211,877,807,7
13,1276,6,667,609,-493,-141,439,805,7
14,993,-297,607,595,-449,-55,201,793,7
15,681,-381,537,589,-352,61,52,772,7
16,506,-527,440,612,-265,187,147,756,7
17,605,-701,479,576,-226,297,42,742,7
18,486,-521,598,530,-166,382,69,728,7
19,458,-300,755,569,-51,436,67,726,7
20,543,-86,806,674,60,475,24,746,7
21,624,-12,631,737,214,519,112,782,7
22,836,217,356,662,359,507,65,807,7
23,892,447,62,570,418,443,0,812,7
24,845,751,-162,546,481,370,142,813,7
25,983,665,-359,499,541,282,239,808,7
26,993,670,-445,378,547,242,277,787,7
27,1143,769,-428,269,588,197,442,765,7
28,1204,900,-222,224,580,165,519,740,7
29,1289,726,-561,215,804,61,582,759,7
30,2134,541,-552,-42,831,52,1269,774,7
31,1590,1178,-155,-251,819,153,984,793,7
32,2575,1946,-300,28,1357,91,2241,906,7
33,4573,1918,-254,309,1410,56,3965,1014,7
34,4490,2012,-1131,584,1341,-53,4048,1103,7
35,4147,991,-1472,567,862,-176,3510,1092,7
36,3508,1061,-495,338,281,-298,2698,980,7
37,3428,1255,-30,384,89,-414,2650,898,7
38,3221,858,71,486,151,-593,2334,874,7
39,2905,395,213,461,150,-704,1939,870,7
40,2748,296,294,433,151,-693,1779,862,7
41,2229,-14,139,409,155,-588,1233,836,7
42,1561,-207,15,308,89,-445,574,778,7
43,1085,-250,8,176,0,-343,113,699,7
44,858,-173,32,99,-46,-262,124,616,7
45,708,-149,46,72,-50,-182,275,533,7
46,531,-157,51,29,-45,-95,443,448,7
47,430,-93,25,-68,-31,-10,559,373,7
48,382,120,58,-130,-3,47,595,326,7
49,407,234,47,-73,44,100,528,287,7
50,459,248,-33,-40,60,174,477,267,7
51,518,386,-47,-83,49,255,352,268,7
52,612,683,-72,-111,63,291,80,278,7
53,705,890,-178,-72,92,282,149,283,7
54,775,886,-233,-68,71,253,199,281,7
55,752,869,-185,-63,42,229,163,273,7
56,738,812,-194,-27,22,240,114,266,7
57,794,736,-195,-40,12,248,100,263,7
58,833,769,-133,-60,6,240,141,260,7
59,867,735,-88,-49,13,235,140,256,7
60,917,642,-82,-64,21,227,122,252,7
61,954,589,-46,-96,27,214,122,248,7
62,1002,572,-5,-105,34,213,153,246,7
63,1049,588,21,-80,43,223,202,245,7
64,1091,609,21,-33,51,232,249,244,7
65,1109,604,-2,8,58,225,208,241,7
1,1393,2801,-70,222,-15,-48,2129,135,7
2,2102,3036,-355,411,-56,-130,2709,195,7
3,3042,3099,-392,231,-175,-356,3360,248,7
4,3687,3975,252,124,-341,-631,4427,343,7
5,4991,3840,1259,420,-331,-814,5421,469,7
6,5485,2694,1570,647,-370,-998,5309,624,7
7,5278,1789,1563,884,-293,-948,4787,765,7
8,4598,850,1371,888,-231,-823,3872,858,7
9,3772,382,1288,843,-386,-683,3004,917,7
10,2899,209,1240,837,-509,-518,2159,955,7
11,2123,172,1116,852,-472,-304,1404,968,7
12,1655,-21,870,819,-393,-87,869,957,7
13,1388,-71,762,663,-367,42,585,917,7
14,1053,-13,657,565,-325,109,241,865,7
15,935,-39,656,592,-234,118,142,822,7
16,943,-198,744,653,-210,141,217,797,7
17,750,-373,699,664,-169,210,90,781,7
18,880,-419,643,534,-86,314,167,750,7
19,1025,-203,803,311,-15,377,317,697,7
20,573,669,931,497,195,480,281,701,7
21,1203,376,993,689,456,524,604,756,7
22,1454,16,777,616,565,571,648,807,7
23,1881,206,742,353,705,697,1032,856,7
24,2254,770,670,169,779,818,1474,913,7
25,2390,1336,560,4,855,877,1794,975,7
26,3410,1924,1114,-76,1076,1062,3070,1083,7
27,4600,2538,1526,-56,1077,980,4470,1157,7
28,4881,2950,888,282,1548,855,4771,1284,7
29,5692,2139,299,697,1428,524,5087,1362,7
30,4715,2444,-716,669,630,237,4358,1279,7
31,4180,1843,-44,585,267,-276,3568,1163,7
32,4309,1315,421,520,244,-680,3524,1108,7
33,3807,509,279,538,535,-797,2850,1106,7
