AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
842,-2254,-1376,175,1,331,1771,533,False,1
822,-1482,-1197,160,0,475,1074,526,False,1
883,-793,-1173,81,24,553,668,533,False,1
966,-61,-1210,16,-2,543,549,535,False,1
859,934,-1027,24,-67,477,632,524,False,1
345,1704,-770,70,-22,384,901,497,False,1
-96,1463,-646,-16,0,221,602,442,False,1
-243,991,-581,-76,28,99,174,379,False,1
-183,429,-735,-28,39,51,129,317,False,1
-27,37,-942,-49,21,46,56,267,False,1
100,-56,-931,-104,-23,50,61,237,False,1
163,-39,-822,-145,-53,50,161,222,False,1
244,-51,-698,-178,-57,58,258,217,False,1
223,-107,-542,-243,-80,72,404,226,False,1
163,-159,-365,-359,-89,93,569,257,False,1
164,-228,-247,-497,-77,130,625,309,False,1
93,-174,-126,-633,-74,193,765,380,False,1
238,-220,-73,-746,-73,285,667,464,False,1
411,-106,84,-926,-108,417,567,576,False,1
702,409,438,-1063,-159,492,77,697,False,1
989,1200,805,-1000,-243,453,751,782,False,1
928,1703,935,-560,-469,377,1153,790,False,1
899,1665,991,-18,-496,365,1136,755,False,1
893,1354,699,191,-423,437,766,731,False,1
1039,1152,397,-23,-354,430,601,696,False,1
1182,1166,340,-172,-261,417,694,661,False,1
1325,1264,385,-116,-225,395,871,623,False,1
1330,1308,404,100,-190,380,908,585,False,1
1114,1222,268,284,-109,327,675,557,False,1
1030,938,27,254,-21,248,393,517,False,1
1021,761,-105,13,-6,148,277,443,False,1
976,763,-60,-175,-22,67,240,392,False,1
934,751,21,-179,-26,22,198,350,False,1
878,667,65,-91,-29,-3,104,299,False,1
827,598,43,12,-12,-6,21,242,False,1
875,527,-34,75,29,-7,22,210,False,1
917,420,-112,86,52,-9,14,188,False,1
921,360,-147,52,52,-14,0,165,False,1
905,365,-150,22,38,-16,12,141,False,1
920,396,-111,33,21,-13,7,121,False,1
933,427,-63,64,-1,-23,28,110,False,1
933,385,-38,83,-8,-37,10,106,False,1
926,347,-38,68,-4,-41,10,101,False,1
930,314,-68,35,16,-36,54,91,True,1
976,1599,-668,11,-142,-1,988,49,False,1
1045,2197,-218,74,-245,-139,1442,97,False,1
1176,2415,-18,279,-192,-304,1686,169,False,1
1570,1988,-219,354,-105,-475,1542,255,False,1
1922,1837,-111,391,-117,-565,1661,343,False,1
2157,1812,-3,534,-180,-612,1817,441,False,1
2199,1512,-4,538,-307,-664,1668,534,False,1
1962,1333,55,411,-337,-714,1372,605,False,1
1783,1347,351,405,-227,-699,1262,652,False,1
1646,1195,457,505,-146,-677,1084,693,False,1
1652,841,508,494,-83,-670,922,721,False,1
1513,685,571,359,-35,-680,756,731,False,1
1440,591,541,221,31,-723,647,736,False,1
1440,140,381,90,122,-746,496,741,False,1
1347,-570,257,-35,144,-732,485,742,False,1
1175,-1079,-306,-51,141,-638,624,724,False,1
1002,-1782,-1030,-25,150,-434,1289,671,False,1
853,-2103,-1438,-27,150,-223,1686,591,False,1
867,-2117,-1688,-18,32,-20,1843,481,False,1
1012,-1812,-1601,32,-44,160,1621,418,False,1
1025,-1511,-1379,91,-82,313,1288,402,False,1
906,-1280,-1328,95,-61,450,1054,414,False,1
935,-673,-1271,40,-78,541,715,440,False,1
974,121,-1000,13,-117,545,401,464,False,1
361,1305,-257,71,-191,466,378,472,False,1
-277,1728,-144,173,15,312,755,449,False,1
-108,1180,-627,45,131,160,340,402,False,1
-157,769,-922,-91,55,60,210,346,False,1
-72,290,-935,-118,-25,31,18,301,False,1
-39,23,-781,-103,-95,38,217,270,False,1
5,-163,-598,-98,-114,45,380,247,False,1
3,-247,-513,-114,-77,70,430,228,False,1
24,-294,-479,-166,-34,101,437,222,False,1
83,-349,-462,-251,3,139,415,235,False,1
128,-364,-420,-380,21,212,429,275,False,1
158,-242,-327,-522,43,296,563,340,False,1
322,19,-232,-606,74,392,602,417,False,1
513,236,-207,-597,97,489,398,489,False,1
765,395,-218,-574,104,568,111,554,False,1
1097,753,-71,-549,67,607,332,607,False,1
1214,1000,-11,-527,-37,593,572,644,False,1
1385,1148,160,-571,-118,527,806,672,False,1
1465,1237,268,-673,-171,452,936,703,False,1
1526,1203,401,-684,-230,405,984,728,False,1
1569,1155,476,-612,-269,354,1005,734,False,1
1595,1249,591,-415,-337,313,1110,711,False,1
1386,1291,641,-130,-366,277,999,664,False,1
1126,1184,531,86,-297,236,718,608,False,1
984,941,313,116,-174,194,397,544,False,1
943,784,206,-27,-91,137,243,468,False,1
935,765,187,-143,-39,78,222,408,False,1
920,740,188,-137,-7,28,195,354,False,1
891,590,152,-63,14,3,79,296,False,1
854,531,154,-44,-15,-1,17,246,False,1
838,552,170,-17,-12,-7,17,201,False,1
856,481,101,-2,24,-20,12,167,False,1
901,435,44,-19,50,-11,1,144,False,1
920,452,-9,-25,69,2,25,130,False,1
926,497,-13,4,84,11,51,121,False,1
925,518,-30,79,99,14,111,122,True,1
891,2139,-122,70,-106,-137,1320,104,False,1
1159,2095,-191,347,-88,-247,1401,170,False,1
1471,1711,-311,315,-127,-384,1277,238,False,1
1635,1622,-131,147,-189,-499,1306,301,False,1
1689,1754,278,299,-166,-567,1450,373,False,1
1748,1446,353,511,-105,-612,1295,459,False,1
1679,1180,444,524,-85,-645,1099,534,False,1
1501,1138,626,505,-43,-651,984,592,False,1
1242,1008,562,463,17,-656,695,634,False,1
1377,1094,576,423,93,-599,850,655,False,1
1410,1173,525,397,106,-635,907,675,False,1
1455,1073,496,282,123,-682,874,690,False,1
1513,814,286,124,187,-723,741,703,False,1
1522,576,99,121,212,-737,630,718,False,1
1556,-394,-367,204,245,-694,646,727,False,1
1474,-1258,-877,139,191,-584,1127,707,False,1
1214,-1732,-984,52,122,-428,1332,655,False,1
1150,-2079,-1333,84,79,-202,1724,570,False,1
972,-2240,-1579,101,35,35,1907,479,False,1
888,-1917,-1541,103,-22,242,1614,435,False,1
708,-1217,-1236,172,-40,412,873,438,False,1
733,-865,-1170,190,-9,520,629,461,False,1
831,-387,-1268,110,11,550,564,481,False,1
914,381,-1344,15,-25,527,669,490,False,1
630,1213,-952,-3,-82,452,665,484,False,1
-4,1628,-365,24,-76,283,668,446,False,1
-169,1080,-484,8,31,145,195,386,False,1
-88,611,-719,-36,53,62,52,326,False,1
-58,242,-924,-36,21,28,43,271,False,1
-37,12,-980,-64,-19,31,19,231,False,1
0,-48,-951,-87,-43,32,47,205,False,1
101,-142,-894,-101,-59,25,89,188,False,1
152,-226,-790,-140,-74,28,164,182,False,1
134,-209,-637,-182,-75,44,316,186,False,1
122,-222,-524,-212,-49,74,417,194,False,1
126,-233,-435,-237,-13,119,490,208,False,1
118,-207,-354,-245,19,177,573,227,False,1
159,-203,-327,-265,61,238,583,254,False,1
285,-169,-297,-337,104,307,555,296,False,1
456,73,-274,-421,167,404,463,358,False,1
763,399,-277,-471,225,470,95,427,False,1
935,523,-307,-559,118,454,114,487,False,1
1059,876,-35,-651,17,442,374,547,False,1
1241,1247,101,-480,5,479,762,573,False,1
1369,1173,-1,-253,-15,518,802,574,False,1
1435,964,-3,-243,-34,526,728,575,False,1
1713,934,9,-307,-19,563,951,588,False,1
1849,1103,10,-315,-11,614,1153,608,False,1
