Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1591,894,-883,-176,-238,-295,1027,196,2
2,1656,896,-783,-201,-321,-324,1039,256,2
3,1721,1002,-652,-158,-388,-343,1095,313,2
4,1770,1108,-522,-61,-483,-332,1152,368,2
5,1875,1101,-279,7,-592,-335,1192,430,2
6,1877,1137,0,65,-691,-323,1194,497,2
7,1811,1193,233,100,-785,-325,1181,569,2
8,1559,1034,447,105,-875,-335,923,643,2
9,1357,1036,683,64,-922,-339,838,711,2
10,976,1237,901,55,-948,-339,815,770,2
11,960,1344,1199,110,-949,-389,1040,822,2
12,937,1224,1371,127,-933,-442,1062,866,2
13,642,798,1465,-65,-859,-480,787,890,2
14,439,616,1641,-234,-655,-567,806,891,2
15,526,356,1556,-203,-482,-565,680,867,2
16,565,2,1474,-177,-421,-518,578,831,2
17,460,-255,1579,-208,-387,-418,664,786,2
18,259,-236,1639,-223,-313,-269,676,723,2
19,181,-212,1610,-262,-181,-128,633,647,2
20,296,-195,1421,-283,-147,-41,464,581,2
21,173,-147,1373,-270,-100,90,391,525,2
22,227,19,1294,-260,-16,203,313,486,2
23,255,209,1253,-218,80,307,295,466,2
24,294,463,1253,-160,220,304,367,454,2
25,258,557,1131,-165,410,307,286,470,2
26,468,661,857,-251,572,250,179,511,2
27,337,732,740,-290,765,199,94,577,2
28,681,600,771,-386,1184,108,190,711,2
29,1406,650,831,-489,1504,58,757,885,2
30,2498,643,859,-520,1633,56,1718,1051,2
31,2926,179,-96,-722,1639,109,1933,1199,2
32,2949,503,-785,-911,1120,215,2092,1251,2
33,2554,1988,-1202,-557,572,301,2452,1171,2
34,1697,2178,-1649,68,149,197,2216,988,2
35,1477,1337,-1434,319,8,47,1454,855,2
36,1259,402,-1367,95,-23,-146,901,719,2
37,952,394,-1197,-129,22,-216,579,625,2
38,714,413,-1067,-87,67,-139,348,536,2
39,645,368,-964,16,51,-51,216,443,2
40,509,428,-772,93,13,-4,18,373,2
41,368,424,-615,131,4,-13,167,324,2
42,405,440,-490,158,8,-51,226,293,2
43,394,349,-429,174,-15,-86,320,273,2
44,437,238,-378,153,-57,-134,375,260,2
45,581,116,-335,62,-95,-186,319,252,2
46,521,-3,-302,-77,-141,-214,397,255,2
47,315,-277,-430,-310,-123,-245,399,286,2
48,467,-107,-405,-622,-35,-220,372,361,2
49,292,467,-198,-740,-5,-181,414,441,2
50,272,843,-241,-684,15,-135,82,492,2
51,404,1131,-240,-518,12,-58,224,498,2
52,296,1084,-228,-325,-43,38,146,464,2
53,215,1021,-67,-249,-134,86,45,430,2
54,225,1107,12,-242,-143,111,129,404,2
55,286,1112,96,-240,-105,149,152,384,2
56,352,1073,121,-242,-88,163,135,368,2
57,451,1054,154,-255,-96,182,156,359,2
58,456,1066,153,-237,-84,227,169,355,2
59,500,1068,143,-167,-62,277,187,350,2
60,535,1125,141,-85,-60,316,253,346,2
61,629,1219,79,2,-22,349,373,347,2
62,735,1226,-8,83,5,376,429,354,2
63,856,1171,-110,150,18,373,454,364,2
64,978,1097,-221,162,0,350,486,368,2
65,1017,980,-257,109,-59,307,362,360,2
1,1916,1237,-802,-155,64,-403,1417,194,2
2,2099,1059,-844,-241,-95,-488,1497,265,2
3,2080,986,-679,-261,-300,-524,1399,344,2
4,1984,905,-450,-188,-473,-545,1226,424,2
5,1817,860,-166,-105,-662,-554,1017,513,2
6,1747,1040,299,6,-817,-544,1054,606,2
9,1844,1393,1332,123,-1163,-690,1667,917,2
10,1806,1384,1768,213,-1097,-754,1881,1003,2
11,1289,946,1108,155,-1004,-831,945,1065,2
12,1370,441,1286,9,-722,-823,930,1071,2
13,1237,73,1245,-40,-572,-753,756,1046,2
14,922,-210,1374,-27,-458,-611,667,989,2
15,449,-286,1378,-27,-339,-447,477,903,2
16,363,-76,1235,-11,-257,-305,289,802,2
17,360,-96,1252,-47,-295,-201,306,714,2
18,254,34,1516,-173,-334,-160,537,652,2
19,372,220,1819,-169,-329,-103,869,598,2
20,490,198,1927,-193,-291,2,998,548,2
21,641,234,1922,-329,-224,87,1039,520,2
22,591,389,1938,-298,-101,235,1063,494,2
23,585,455,1621,-280,50,285,782,476,2
24,537,578,1533,-237,281,312,724,477,2
25,692,663,1183,-233,547,384,522,523,2
26,684,886,963,-279,837,371,476,610,2
27,1013,838,1066,-348,1248,260,692,752,2
28,2059,952,1331,-475,1721,187,1630,960,2
29,3689,1281,1532,-398,1743,231,3194,1129,2
30,3699,976,384,-88,1743,190,2844,1254,2
31,4091,-159,-673,-52,1558,69,3149,1315,2
32,3163,-289,-2795,-222,989,196,3230,1258,2
33,2320,-34,-2482,31,241,112,2397,1060,2
34,1873,-132,-1501,202,-127,-155,1403,905,2
35,1363,-748,-1308,7,-76,-233,1031,773,2
36,987,-476,-1259,-200,79,-111,669,666,2
37,964,-142,-1220,-107,114,-7,561,564,2
38,944,-156,-1218,17,57,17,548,463,2
39,775,-231,-1064,41,-24,-8,336,380,2
40,590,-163,-818,1,-72,-41,21,320,2
41,469,-47,-616,-31,-80,-69,224,278,2
44,334,76,-277,-277,-115,-281,559,306,2
45,337,132,-160,-236,-132,-306,604,326,2
46,325,34,-78,-194,-150,-287,664,336,2
47,342,97,-29,-160,-123,-256,643,334,2
