1,1,1284,1400,-827,223,146,-224,1071,171,1
1,1,1626,1330,-1038,314,-312,-278,1343,316,4
1,1,1593,1407,-835,277,-439,-299,1283,372,5
1,1,1561,1487,-495,310,-573,-325,1211,443,6
1,1,1599,1344,-207,356,-725,-370,1099,532,7
1,1,1572,1226,36,351,-851,-413,993,627,8
1,1,1399,682,319,325,-961,-489,588,727,9
1,1,1176,174,496,247,-970,-539,288,809,10
1,1,961,-161,597,164,-960,-538,142,869,11
1,1,776,-355,827,132,-883,-508,188,901,12
1,1,528,-557,1143,118,-732,-434,376,892,13
1,1,135,-746,1303,61,-538,-311,507,838,14
1,1,-181,-776,1322,3,-253,-156,543,730,15
1,1,-151,-777,1265,-32,58,15,492,597,16
1,1,-82,-724,1025,-61,298,185,257,549,17
1,1,-12,-651,863,-99,494,302,81,556,18
1,1,100,-562,729,-122,650,395,74,599,19
1,1,297,-451,564,-153,788,498,219,668,20
1,1,581,-188,379,-188,938,594,281,759,21
1,1,1078,119,230,-204,1098,657,108,866,22
1,1,1674,469,119,-186,1207,665,742,971,23
1,1,2207,802,47,-50,1249,627,1348,1056,24
1,1,2369,823,-225,155,1094,550,1517,1092,25
1,1,2319,517,-551,192,874,377,1438,1068,26
1,1,2227,294,-781,-12,537,196,1378,968,27
1,1,2215,274,-714,-320,277,27,1343,859,28
1,1,2050,433,-542,-534,162,-53,1164,799,29
1,1,1799,603,-413,-577,126,8,941,757,30
1,1,1638,797,-274,-483,38,123,842,706,31
1,1,1508,996,-179,-298,-69,161,816,633,32
1,1,1335,980,-177,-135,-108,149,665,552,33
1,1,1167,826,-247,-89,-80,104,450,473,34
1,1,1087,728,-254,-122,-36,34,332,405,35
1,1,1048,634,-255,-166,-11,-27,251,357,36
1,1,999,569,-236,-214,-27,-60,173,330,37
1,1,950,577,-168,-230,-58,-78,124,314,38
1,1,912,579,-102,-204,-87,-87,85,299,39
1,1,879,574,-36,-152,-111,-85,50,280,40
1,1,844,561,3,-91,-116,-73,13,257,41
1,1,834,547,20,-34,-96,-58,2,229,42
1,1,824,520,6,0,-64,-48,25,199,43
1,1,825,483,-31,4,-25,-43,43,169,44
1,1,845,472,-63,-12,3,-44,30,144,45
1,1,861,482,-85,-19,16,-46,9,125,46
1,1,865,480,-103,-8,16,-44,5,110,47
1,1,857,463,-116,5,13,-41,19,96,48
1,1,843,441,-118,10,13,-35,41,84,49
1,1,835,424,-122,11,15,-27,55,74,50
1,1,829,424,-128,14,19,-15,60,64,51
1,1,833,430,-135,20,21,-2,52,57,52
1,1,843,444,-150,26,20,8,35,52,53
1,1,853,450,-150,29,17,16,23,49,54
1,1,863,466,-151,26,14,21,7,46,55
1,1,872,483,-143,20,11,25,7,44,56
1,1,876,498,-136,20,10,26,16,42,57
1,1,878,516,-129,23,9,26,26,40,58
1,1,874,527,-128,25,7,22,28,39,59
1,1,874,529,-122,23,4,15,28,36,60
1,1,866,530,-109,21,2,8,21,33,61
1,1,861,534,-101,24,4,3,18,31,62
1,1,865,527,-104,25,6,-3,18,30,63
1,1,862,529,-102,26,6,-8,16,29,64
1,1,860,516,-103,28,8,-14,19,30,65
1,1,1780,835,-1207,218,-58,-303,1307,209,1
1,1,1788,904,-1359,34,-304,-378,1420,265,2
1,1,1642,1185,-1229,-38,-490,-434,1368,343,3
1,1,1540,1616,-1032,58,-601,-467,1459,427,4
1,1,1580,1953,-673,292,-670,-462,1600,514,5
1,1,1641,1973,-352,481,-808,-484,1590,622,6
1,1,1691,1670,-3,555,-937,-529,1376,740,7
1,1,1710,1476,138,541,-1026,-577,1263,851,8
1,1,1841,850,354,472,-1120,-636,1058,955,9
1,1,1844,319,722,355,-1195,-675,1005,1047,10
1,1,1624,-250,1142,207,-1106,-688,1001,1101,11
1,1,1159,-616,1581,94,-874,-624,1054,1096,12
1,1,762,-834,1795,48,-567,-434,1120,1020,13
1,1,609,-961,1701,-34,-203,-150,1046,867,14
1,1,664,-882,1523,-135,115,88,881,733,15
1,1,606,-724,1289,-208,359,267,597,685,16
1,1,509,-579,1112,-252,601,405,353,701,17
1,1,492,-435,1066,-282,824,528,252,764,18
1,1,696,-244,891,-315,1053,629,156,865,19
1,1,1114,34,689,-325,1258,695,310,986,20
1,1,1694,326,608,-313,1422,675,829,1110,21
1,1,2366,709,510,-195,1553,574,1522,1221,22
1,1,2812,867,283,38,1487,503,1956,1291,23
1,1,2826,691,-315,116,1290,348,1926,1301,24
1,1,2646,537,-670,-13,852,219,1781,1216,25
1,1,2453,586,-604,-47,421,78,1593,1059,26
1,1,2266,357,-630,-92,190,-109,1378,894,27
1,1,2000,127,-644,-231,112,-175,1104,777,28
1,1,1761,91,-559,-428,111,-100,849,712,29
1,1,1652,342,-434,-543,126,23,741,681,30
1,1,1582,649,-324,-478,70,104,740,644,31
1,1,1448,779,-254,-359,-46,109,663,590,32
